Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status
P22-78609,Anthony,Davis,586-81-1071,3,83,2001-01-12 03:31:30,True,641-02-5725,BP22-34162,,,,,,,HGB,,,,True,due
P22-78609,Anthony,Davis,586-81-1071,3,83,2001-01-12 03:31:30,True,641-02-5725,BP22-34162,,,,,,,RBC,,,,True,due
P22-78609,Anthony,Davis,586-81-1071,3,83,2001-01-12 03:31:30,True,641-02-5725,BP22-34162,,,,,,,WBC,,,,True,due
P22-78609,Anthony,Davis,586-81-1071,3,83,2001-01-12 03:31:30,True,641-02-5725,BP22-34162,,,,,,,HIV Viral Load,,,,True,due
P22-128574,Sharon,Mack,638-69-9112,1,62,1978-01-12 22:35:25,True,063-68-4913,DBS22-73994,,,,,,,EID,,,,True,due
P22-128574,Sharon,Mack,638-69-9112,1,62,1978-01-12 22:35:25,True,063-68-4913,BP22-34174,,,,,,,HIV,,,,True,due
P22-90123,Jonathan,Nelson,610-37-4794,1,1,2000-10-09 10:41:15,True,069-36-1223,WB22-33665,,,,,,,RBC,,,,True,due
P22-90123,Jonathan,Nelson,610-37-4794,1,1,2000-10-09 10:41:15,True,069-36-1223,WB22-33665,,,,,,,EID,,,,True,due
P22-90123,Jonathan,Nelson,610-37-4794,1,1,2000-10-09 10:41:15,True,069-36-1223,WB22-33665,,,,,,,HGB,,,,True,due
P22-90123,Jonathan,Nelson,610-37-4794,1,1,2000-10-09 10:41:15,True,069-36-1223,WB22-33665,,,,,,,WBC,,,,True,due
P22-113921,Amanda,Ellis,596-59-5893,3,36,1999-11-28 11:44:06,True,301-66-7115,WB22-33696,,,,,,,Na-,,,,True,due
P22-113921,Amanda,Ellis,596-59-5893,3,36,1999-11-28 11:44:06,True,301-66-7115,WB22-33696,,,,,,,Cl-,,,,True,due
P22-113921,Amanda,Ellis,596-59-5893,3,36,1999-11-28 11:44:06,True,301-66-7115,WB22-33696,,,,,,,Creatinine,,,,True,due
P22-113921,Amanda,Ellis,596-59-5893,3,36,1999-11-28 11:44:06,True,301-66-7115,WB22-33696,,,,,,,Urea,,,,True,due
P22-113921,Amanda,Ellis,596-59-5893,3,36,1999-11-28 11:44:06,True,301-66-7115,WB22-33696,,,,,,,K+,,,,True,due
P22-99167,Colton,Parsons,215-55-8576,3,77,2011-06-01 12:13:35,False,452-40-9980,BP22-34251,,,,,,,HIV Viral Load,,,,True,due
P22-99167,Colton,Parsons,215-55-8576,3,77,2011-06-01 12:13:35,False,452-40-9980,DBS22-74187,,,,,,,EID,,,,True,due
P22-34899,Mark,Anderson,317-88-8340,3,69,1987-06-07 11:25:44,True,667-89-5011,WB22-33735,,,,,,,HIV,,,,True,due
P22-84754,Kimberly,Reed,339-97-5681,1,66,1980-03-07 12:45:37,True,492-56-9055,WB22-33738,,,,,,,HGB,,,,True,due
P22-84754,Kimberly,Reed,339-97-5681,1,66,1980-03-07 12:45:37,True,492-56-9055,WB22-33738,,,,,,,WBC,,,,True,due
P22-84754,Kimberly,Reed,339-97-5681,1,66,1980-03-07 12:45:37,True,492-56-9055,WB22-33738,,,,,,,EID,,,,True,due
P22-84754,Kimberly,Reed,339-97-5681,1,66,1980-03-07 12:45:37,True,492-56-9055,WB22-33738,,,,,,,RBC,,,,True,due
P22-18747,Kenneth,Medina,066-66-1025,2,84,1995-07-01 22:29:20,False,397-49-3036,DBS22-74306,,,,,,,EID,,,,True,due
P22-164739,Melanie,Rivas,108-78-0349,3,1,2003-07-30 11:03:40,False,602-02-6846,DBS22-74397,,,,,,,EID,,,,True,due
P22-129841,Sherry,Rivera,731-92-5156,3,51,1976-11-30 17:17:52,True,847-77-3673,WB22-33838,,,,,,,Cl-,,,,True,due
P22-129841,Sherry,Rivera,731-92-5156,3,51,1976-11-30 17:17:52,True,847-77-3673,WB22-33838,,,,,,,K+,,,,True,due
