Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status
P22-122683,Lori,Cox,828-42-5837,1,53,2017-02-09 18:35:21,False,034-96-9037,WB22-13527,,,,,,,HIV Viral Load,,,,True,due
P22-122683,Lori,Cox,828-42-5837,1,53,2017-02-09 18:35:21,False,034-96-9037,WB22-13527,,,,,,,K+,,,,True,due
P22-76876,Stephen,Bradley,334-03-2006,1,70,1987-08-12 08:16:56,True,114-52-6696,BP22-13890,,,,,,,Cl-,,,,True,due
P22-76876,Stephen,Bradley,334-03-2006,1,70,1987-08-12 08:16:56,True,114-52-6696,BP22-13890,,,,,,,Na-,,,,True,due
P22-76876,Stephen,Bradley,334-03-2006,1,70,1987-08-12 08:16:56,True,114-52-6696,BP22-13890,,,,,,,K+,,,,True,due
P22-76876,Stephen,Bradley,334-03-2006,1,70,1987-08-12 08:16:56,True,114-52-6696,BP22-13890,,,,,,,HIV,,,,True,due
P22-76876,Stephen,Bradley,334-03-2006,1,70,1987-08-12 08:16:56,True,114-52-6696,BP22-13890,,,,,,,Creatinine,,,,True,due
P22-76876,Stephen,Bradley,334-03-2006,1,70,1987-08-12 08:16:56,True,114-52-6696,BP22-13890,,,,,,,Urea,,,,True,due
P22-146781,Donald,Wilson,503-49-9089,1,11,1973-04-05 07:47:46,True,288-88-2883,BP22-13892,,,,,,,RBC,,,,True,due
P22-146781,Donald,Wilson,503-49-9089,1,11,1973-04-05 07:47:46,True,288-88-2883,BP22-13892,,,,,,,WBC,,,,True,due
P22-146781,Donald,Wilson,503-49-9089,1,11,1973-04-05 07:47:46,True,288-88-2883,BP22-13892,,,,,,,HGB,,,,True,due
P22-146781,Donald,Wilson,503-49-9089,1,11,1973-04-05 07:47:46,True,288-88-2883,BP22-13892,,,,,,,HIV,,,,True,due
P22-143835,Eric,Hernandez,135-89-4447,2,33,1972-10-26 06:22:10,True,111-38-1176,DBS22-29810,,,,,,,EID,,,,True,due
P22-174834,Jennifer,Chen,793-98-8287,3,60,1981-09-09 16:54:11,True,656-71-1974,DBS22-29824,,,,,,,EID,,,,True,due
P22-174834,Jennifer,Chen,793-98-8287,3,60,1981-09-09 16:54:11,True,656-71-1974,DBS22-29828,,,,,,,EID,,,,True,due
P22-121452,Jason,Oliver,115-09-7494,1,44,1975-03-17 04:21:49,True,256-50-1961,DBS22-29860,,,,,,,EID,,,,True,due
P22-155345,Dennis,York,823-45-1192,1,29,1988-10-04 06:17:48,False,262-96-8401,WB22-13610,,,,,,,EID,,,,True,due
P22-81865,Brenda,Wallace,748-06-4760,1,13,2009-06-17 21:47:18,False,482-06-3968,BP22-13952,,,,,,,RBC,,,,True,due
P22-81865,Brenda,Wallace,748-06-4760,1,13,2009-06-17 21:47:18,False,482-06-3968,BP22-13952,,,,,,,EID,,,,True,due
P22-81865,Brenda,Wallace,748-06-4760,1,13,2009-06-17 21:47:18,False,482-06-3968,BP22-13952,,,,,,,WBC,,,,True,due
P22-81865,Brenda,Wallace,748-06-4760,1,13,2009-06-17 21:47:18,False,482-06-3968,BP22-13952,,,,,,,HGB,,,,True,due
P22-191546,Angelica,Walls,036-48-6368,3,30,2006-09-28 11:47:17,False,106-46-5131,BP22-13966,,,,,,,RBC,,,,True,due
P22-191546,Angelica,Walls,036-48-6368,3,30,2006-09-28 11:47:17,False,106-46-5131,BP22-13966,,,,,,,HIV,,,,True,due
P22-191546,Angelica,Walls,036-48-6368,3,30,2006-09-28 11:47:17,False,106-46-5131,BP22-13966,,,,,,,HGB,,,,True,due
P22-191546,Angelica,Walls,036-48-6368,3,30,2006-09-28 11:47:17,False,106-46-5131,BP22-13966,,,,,,,WBC,,,,True,due
P22-50801,Katelyn,Wolfe,403-22-1600,3,21,1997-03-17 06:35:36,True,724-19-9017,BP22-13979,,,,,,,HGB,,,,True,due
P22-50801,Katelyn,Wolfe,403-22-1600,3,21,1997-03-17 06:35:36,True,724-19-9017,BP22-13979,,,,,,,RBC,,,,True,due
P22-50801,Katelyn,Wolfe,403-22-1600,3,21,1997-03-17 06:35:36,True,724-19-9017,BP22-13979,,,,,,,WBC,,,,True,due
P22-197557,Jake,Barrett,424-67-0224,3,39,1999-10-23 10:09:56,True,881-19-9822,BP22-13995,,,,,,,HGB,,,,True,due
P22-197557,Jake,Barrett,424-67-0224,3,39,1999-10-23 10:09:56,True,881-19-9822,BP22-13995,,,,,,,RBC,,,,True,due
P22-197557,Jake,Barrett,424-67-0224,3,39,1999-10-23 10:09:56,True,881-19-9822,BP22-13995,,,,,,,HIV,,,,True,due
P22-197557,Jake,Barrett,424-67-0224,3,39,1999-10-23 10:09:56,True,881-19-9822,BP22-13995,,,,,,,WBC,,,,True,due
P22-30968,Michael,Garcia,354-03-6814,1,25,1998-01-09 20:02:04,True,706-34-9444,DBS22-30064,,,,,,,EID,,,,True,due
P22-198667,Mary,Valdez,612-85-1364,2,28,2001-05-26 22:13:02,True,162-83-8947,WB22-13684,,,,,,,Urea,,,,True,due
P22-198667,Mary,Valdez,612-85-1364,2,28,2001-05-26 22:13:02,True,162-83-8947,WB22-13684,,,,,,,K+,,,,True,due
P22-198667,Mary,Valdez,612-85-1364,2,28,2001-05-26 22:13:02,True,162-83-8947,WB22-13684,,,,,,,Cl-,,,,True,due
P22-198667,Mary,Valdez,612-85-1364,2,28,2001-05-26 22:13:02,True,162-83-8947,WB22-13684,,,,,,,Creatinine,,,,True,due
P22-198667,Mary,Valdez,612-85-1364,2,28,2001-05-26 22:13:02,True,162-83-8947,WB22-13684,,,,,,,Na-,,,,True,due
P22-100351,Donna,Bautista,840-74-5181,3,12,1991-06-06 21:39:12,True,806-59-1585,DBS22-30072,,,,,,,EID,,,,True,due
P22-115125,Kathleen,Wheeler,337-97-1026,2,22,1980-02-09 14:28:13,True,774-80-4948,BP22-14026,,,,,,,HGB,,,,True,due
P22-115125,Kathleen,Wheeler,337-97-1026,2,22,1980-02-09 14:28:13,True,774-80-4948,BP22-14026,,,,,,,WBC,,,,True,due
P22-115125,Kathleen,Wheeler,337-97-1026,2,22,1980-02-09 14:28:13,True,774-80-4948,BP22-14026,,,,,,,RBC,,,,True,due
P22-115125,Kathleen,Wheeler,337-97-1026,2,22,1980-02-09 14:28:13,True,774-80-4948,BP22-14026,,,,,,,EID,,,,True,due
P22-185770,Victor,Hernandez,350-57-7536,2,20,2021-08-27 05:32:49,True,702-20-9861,BP22-14053,,,,,,,K+,,,,True,due
P22-185770,Victor,Hernandez,350-57-7536,2,20,2021-08-27 05:32:49,True,702-20-9861,BP22-14053,,,,,,,EID,,,,True,due
P22-185770,Victor,Hernandez,350-57-7536,2,20,2021-08-27 05:32:49,True,702-20-9861,BP22-14053,,,,,,,Na-,,,,True,due
P22-185770,Victor,Hernandez,350-57-7536,2,20,2021-08-27 05:32:49,True,702-20-9861,BP22-14053,,,,,,,Urea,,,,True,due
P22-185770,Victor,Hernandez,350-57-7536,2,20,2021-08-27 05:32:49,True,702-20-9861,BP22-14053,,,,,,,Creatinine,,,,True,due
P22-185770,Victor,Hernandez,350-57-7536,2,20,2021-08-27 05:32:49,True,702-20-9861,BP22-14053,,,,,,,Cl-,,,,True,due
P22-05192,Anita,Garza,814-59-1758,3,44,2013-10-29 11:46:31,True,045-55-8030,DBS22-30156,,,,,,,EID,,,,True,due
