Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status
P22-168109,Douglas,Johnson,706-82-9785,3,38,1972-12-10 21:26:28,True,370-10-3675,WB22-22114,,,,,,,EID,,,,True,due
P22-126510,Debra,Gonzalez,440-11-5920,3,47,1976-07-07 15:22:08,True,290-98-7495,WB22-22130,,,,,,,HIV,,,,True,due
P22-45819,Robert,Rodriguez,739-21-7846,2,80,1986-09-12 10:28:58,False,796-58-1393,DBS22-48630,,,,,,,EID,,,,True,due
P22-47714,Shirley,Smith,756-72-6450,1,25,1971-02-21 14:18:41,False,562-62-8462,BP22-22613,,,,,,,EID,,,,True,due
P22-148576,Bailey,George,043-51-0828,1,37,2002-01-12 18:52:32,True,363-55-9782,DBS22-48733,,,,,,,EID,,,,True,due
P22-169046,Lisa,Goodwin,886-27-1424,2,23,2007-12-08 00:49:05,False,275-93-8516,DBS22-48827,,,,,,,EID,,,,True,due
P22-101051,Grant,Jackson,641-26-0027,1,85,1979-11-27 23:21:43,True,599-15-8617,DBS22-48855,,,,,,,EID,,,,True,due
P22-174313,Nicholas,Matthews,100-78-0734,1,73,2008-11-02 22:53:51,False,750-68-9106,BP22-22688,,,,,,,HIV,,,,True,due
P22-59233,Meagan,Compton,590-39-0134,3,30,1982-07-18 06:19:36,True,411-97-6010,DBS22-48872,,,,,,,EID,,,,True,due
P22-52129,Brett,Castillo,634-83-6290,3,18,2016-10-22 19:26:26,False,550-15-3828,DBS22-49009,,,,,,,EID,,,,True,due
P22-63439,Carlos,Miller,648-53-6099,1,78,2002-05-22 13:17:14,False,312-02-6919,DBS22-49020,,,,,,,EID,,,,True,due
P22-162963,Eric,Miller,165-48-8434,1,20,1977-05-18 09:27:20,False,425-20-1716,BP22-22781,,,,,,,RBC,,,,True,due
P22-162963,Eric,Miller,165-48-8434,1,20,1977-05-18 09:27:20,False,425-20-1716,BP22-22781,,,,,,,HGB,,,,True,due
P22-162963,Eric,Miller,165-48-8434,1,20,1977-05-18 09:27:20,False,425-20-1716,BP22-22781,,,,,,,WBC,,,,True,due
P22-02400,Julie,Mitchell,767-93-0923,3,50,1993-08-20 16:46:45,True,818-25-3677,DBS22-49100,,,,,,,EID,,,,True,due
