Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status
P22-115328,Steven,Brown,793-33-1746,1,6,2016-08-18 02:39:37,False,044-07-7092,DBS22-56212,,,,,,,EID,,,,True,due
P22-144070,John,Daugherty,287-27-0128,2,67,2001-05-20 09:56:48,False,160-81-5853,DBS22-56230,,,,,,,EID,,,,True,due
P22-122372,Amanda,Chan,304-83-8157,1,55,1973-09-12 16:54:38,True,692-36-8421,BP22-26115,,,,,,,RBC,,,,True,due
P22-122372,Amanda,Chan,304-83-8157,1,55,1973-09-12 16:54:38,True,692-36-8421,BP22-26115,,,,,,,HGB,,,,True,due
P22-122372,Amanda,Chan,304-83-8157,1,55,1973-09-12 16:54:38,True,692-36-8421,BP22-26115,,,,,,,HIV Viral Load,,,,True,due
P22-122372,Amanda,Chan,304-83-8157,1,55,1973-09-12 16:54:38,True,692-36-8421,BP22-26115,,,,,,,WBC,,,,True,due
P22-182155,Angela,Bennett,057-43-7439,2,76,1991-12-22 14:30:02,False,010-80-4461,DBS22-56281,,,,,,,EID,,,,True,due
P22-104315,Jacqueline,Nelson,494-27-8752,2,70,2012-04-14 13:06:56,True,296-99-5992,BP22-26142,,,,,,,HIV,,,,True,due
P22-104315,Jacqueline,Nelson,494-27-8752,2,70,2012-04-14 13:06:56,True,296-99-5992,DBS22-56322,,,,,,,EID,,,,True,due
P22-95898,Cody,Richardson,025-11-5965,2,70,1982-03-28 00:26:03,True,350-13-6645,DBS22-56366,,,,,,,EID,,,,True,due
P22-42680,Anthony,Marshall,754-60-8877,2,14,1988-01-11 01:24:14,False,563-12-5887,DBS22-56420,,,,,,,EID,,,,True,due
P22-107931,Tammy,Perez,212-43-2726,1,23,1976-07-30 10:20:54,False,377-69-4890,BP22-26219,,,,,,,Na-,,,,True,due
P22-107931,Tammy,Perez,212-43-2726,1,23,1976-07-30 10:20:54,False,377-69-4890,BP22-26219,,,,,,,HIV Viral Load,,,,True,due
P22-107931,Tammy,Perez,212-43-2726,1,23,1976-07-30 10:20:54,False,377-69-4890,BP22-26219,,,,,,,K+,,,,True,due
P22-107931,Tammy,Perez,212-43-2726,1,23,1976-07-30 10:20:54,False,377-69-4890,BP22-26219,,,,,,,Urea,,,,True,due
P22-107931,Tammy,Perez,212-43-2726,1,23,1976-07-30 10:20:54,False,377-69-4890,BP22-26219,,,,,,,Cl-,,,,True,due
P22-107931,Tammy,Perez,212-43-2726,1,23,1976-07-30 10:20:54,False,377-69-4890,BP22-26219,,,,,,,Creatinine,,,,True,due
P22-08706,Eric,Bush,389-76-0036,3,59,1983-07-05 02:24:23,False,345-68-6606,BP22-26249,,,,,,,RBC,,,,True,due
P22-08706,Eric,Bush,389-76-0036,3,59,1983-07-05 02:24:23,False,345-68-6606,BP22-26249,,,,,,,HGB,,,,True,due
P22-08706,Eric,Bush,389-76-0036,3,59,1983-07-05 02:24:23,False,345-68-6606,BP22-26249,,,,,,,WBC,,,,True,due
P22-08706,Eric,Bush,389-76-0036,3,59,1983-07-05 02:24:23,False,345-68-6606,BP22-26249,,,,,,,EID,,,,True,due
P22-72699,Lawrence,Russo,418-51-4619,1,43,1980-05-13 12:33:45,True,844-43-0297,DBS22-56579,,,,,,,EID,,,,True,due
P22-63567,Meghan,Sims,588-51-7658,3,10,2001-09-24 01:24:18,False,368-31-2007,DBS22-56593,,,,,,,EID,,,,True,due
P22-171610,Juan,Allen,740-52-4460,2,48,2013-12-31 12:43:37,False,874-56-8661,DBS22-56654,,,,,,,EID,,,,True,due
P22-171610,Juan,Allen,740-52-4460,2,48,2013-12-31 12:43:37,False,874-56-8661,WB22-25818,,,,,,,WBC,,,,True,due
P22-171610,Juan,Allen,740-52-4460,2,48,2013-12-31 12:43:37,False,874-56-8661,WB22-25818,,,,,,,HIV Viral Load,,,,True,due
P22-171610,Juan,Allen,740-52-4460,2,48,2013-12-31 12:43:37,False,874-56-8661,WB22-25818,,,,,,,RBC,,,,True,due
P22-171610,Juan,Allen,740-52-4460,2,48,2013-12-31 12:43:37,False,874-56-8661,WB22-25818,,,,,,,HGB,,,,True,due
P22-179696,Rhonda,Jones,134-66-1345,3,7,2020-09-27 15:49:42,False,579-85-7461,DBS22-56674,,,,,,,EID,,,,True,due
P22-93521,Natalie,Lawson,469-87-0003,3,34,2018-02-27 11:33:35,True,840-01-4530,WB22-25855,,,,,,,HIV Viral Load,,,,True,due
P22-93521,Natalie,Lawson,469-87-0003,3,34,2018-02-27 11:33:35,True,840-01-4530,WB22-25855,,,,,,,Cl-,,,,True,due
P22-93521,Natalie,Lawson,469-87-0003,3,34,2018-02-27 11:33:35,True,840-01-4530,WB22-25855,,,,,,,Creatinine,,,,True,due
P22-93521,Natalie,Lawson,469-87-0003,3,34,2018-02-27 11:33:35,True,840-01-4530,WB22-25855,,,,,,,Na-,,,,True,due
P22-93521,Natalie,Lawson,469-87-0003,3,34,2018-02-27 11:33:35,True,840-01-4530,WB22-25855,,,,,,,Urea,,,,True,due
P22-93521,Natalie,Lawson,469-87-0003,3,34,2018-02-27 11:33:35,True,840-01-4530,WB22-25855,,,,,,,K+,,,,True,due
P22-93521,Natalie,Lawson,469-87-0003,3,34,2018-02-27 11:33:35,True,840-01-4530,BP22-26346,,,,,,,Creatinine,,,,True,due
P22-93521,Natalie,Lawson,469-87-0003,3,34,2018-02-27 11:33:35,True,840-01-4530,BP22-26346,,,,,,,Cl-,,,,True,due
P22-93521,Natalie,Lawson,469-87-0003,3,34,2018-02-27 11:33:35,True,840-01-4530,BP22-26346,,,,,,,HIV,,,,True,due
P22-93521,Natalie,Lawson,469-87-0003,3,34,2018-02-27 11:33:35,True,840-01-4530,BP22-26346,,,,,,,K+,,,,True,due
P22-93521,Natalie,Lawson,469-87-0003,3,34,2018-02-27 11:33:35,True,840-01-4530,BP22-26346,,,,,,,Urea,,,,True,due
P22-93521,Natalie,Lawson,469-87-0003,3,34,2018-02-27 11:33:35,True,840-01-4530,BP22-26346,,,,,,,Na-,,,,True,due
P22-13439,Gina,Baker,150-40-1346,3,1,2005-06-14 17:08:23,True,466-31-9811,DBS22-56814,,,,,,,EID,,,,True,due
P22-95174,Kara,Schmidt,427-20-0080,3,70,2007-03-17 04:42:37,False,292-96-9336,DBS22-56888,,,,,,,EID,,,,True,due
P22-146674,Allen,James,481-25-7439,3,5,2013-04-24 13:40:43,False,493-39-0281,DBS22-56926,,,,,,,EID,,,,True,due
P22-163624,Donna,Koch,650-13-6055,2,25,1996-09-02 05:20:12,False,667-09-2558,DBS22-56960,,,,,,,EID,,,,True,due
P22-55689,James,Scott,078-13-8363,1,68,1992-07-14 19:54:18,True,252-19-0443,WB22-25995,,,,,,,HIV,,,,True,due
