Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status
P22-156632,Tony,Wallace,221-01-6380,3,37,1990-12-27 18:02:58,False,328-96-2994,BP22-09966,,,,,,,HIV,,,,True,due
P22-156632,Tony,Wallace,221-01-6380,3,37,1990-12-27 18:02:58,False,328-96-2994,BP22-09966,,,,,,,WBC,,,,True,due
P22-156632,Tony,Wallace,221-01-6380,3,37,1990-12-27 18:02:58,False,328-96-2994,BP22-09966,,,,,,,HGB,,,,True,due
P22-156632,Tony,Wallace,221-01-6380,3,37,1990-12-27 18:02:58,False,328-96-2994,BP22-09966,,,,,,,RBC,,,,True,due
P22-184365,Traci,Curry,183-75-1117,2,10,1979-03-31 12:21:03,False,871-57-9817,BP22-10487,,,,,,,WBC,,,,True,due
P22-184365,Traci,Curry,183-75-1117,2,10,1979-03-31 12:21:03,False,871-57-9817,BP22-10487,,,,,,,HGB,,,,True,due
P22-184365,Traci,Curry,183-75-1117,2,10,1979-03-31 12:21:03,False,871-57-9817,BP22-10487,,,,,,,HIV,,,,True,due
P22-201793,Kathleen,Stewart,709-43-8913,3,76,1986-12-03 05:21:54,True,375-09-4076,DBS22-22597,,,,,,,EID,,,,True,due
P22-184365,Traci,Curry,183-75-1117,2,10,1979-03-31 12:21:03,False,871-57-9817,DBS22-22599,,,,,,,EID,,,,True,due
P22-64385,Diane,Lopez,120-62-2759,1,19,2013-03-06 11:41:30,False,530-23-6785,WB22-10276,,,,,,,Cl-,,,,True,due
P22-64385,Diane,Lopez,120-62-2759,1,19,2013-03-06 11:41:30,False,530-23-6785,WB22-10276,,,,,,,Na-,,,,True,due
P22-64385,Diane,Lopez,120-62-2759,1,19,2013-03-06 11:41:30,False,530-23-6785,WB22-10276,,,,,,,K+,,,,True,due
P22-64385,Diane,Lopez,120-62-2759,1,19,2013-03-06 11:41:30,False,530-23-6785,WB22-10276,,,,,,,Urea,,,,True,due
P22-64385,Diane,Lopez,120-62-2759,1,19,2013-03-06 11:41:30,False,530-23-6785,WB22-10276,,,,,,,Creatinine,,,,True,due
P22-39700,Sean,Ross,328-55-0421,1,79,1995-08-03 00:27:11,False,234-45-3879,DBS22-22624,,,,,,,EID,,,,True,due
P22-58975,Margaret,Reed,406-36-4178,3,4,1972-10-22 21:52:00,False,526-14-4104,DBS22-22721,,,,,,,EID,,,,True,due
P22-53167,Stephen,White,150-56-8669,3,86,2015-03-18 17:32:40,True,714-09-4739,WB22-10323,,,,,,,Na-,,,,True,due
P22-53167,Stephen,White,150-56-8669,3,86,2015-03-18 17:32:40,True,714-09-4739,WB22-10323,,,,,,,HIV,,,,True,due
P22-53167,Stephen,White,150-56-8669,3,86,2015-03-18 17:32:40,True,714-09-4739,WB22-10323,,,,,,,K+,,,,True,due
P22-53167,Stephen,White,150-56-8669,3,86,2015-03-18 17:32:40,True,714-09-4739,WB22-10323,,,,,,,Urea,,,,True,due
P22-53167,Stephen,White,150-56-8669,3,86,2015-03-18 17:32:40,True,714-09-4739,WB22-10323,,,,,,,Cl-,,,,True,due
P22-53167,Stephen,White,150-56-8669,3,86,2015-03-18 17:32:40,True,714-09-4739,WB22-10323,,,,,,,Creatinine,,,,True,due
P22-03905,Lauren,Smith,284-54-4450,3,76,1987-08-07 06:25:57,False,794-61-0085,DBS22-22740,,,,,,,EID,,,,True,due
P22-56557,Rose,Sims,814-10-9357,1,57,2010-04-07 05:02:43,False,748-02-9916,DBS22-22752,,,,,,,EID,,,,True,due
P22-16910,Michelle,Hurley,354-70-4126,3,2,2015-07-22 11:15:48,False,367-57-9627,DBS22-22758,,,,,,,EID,,,,True,due
P22-08476,Mary,Thomas,643-91-3425,1,37,1978-10-28 00:51:00,True,177-32-2568,WB22-10353,,,,,,,HIV Viral Load,,,,True,due
P22-58549,James,Martinez,015-69-5542,1,46,2018-10-15 15:03:28,True,684-11-5788,BP22-10607,,,,,,,Urea,,,,True,due
P22-58549,James,Martinez,015-69-5542,1,46,2018-10-15 15:03:28,True,684-11-5788,BP22-10607,,,,,,,K+,,,,True,due
P22-58549,James,Martinez,015-69-5542,1,46,2018-10-15 15:03:28,True,684-11-5788,BP22-10607,,,,,,,HIV Viral Load,,,,True,due
P22-58549,James,Martinez,015-69-5542,1,46,2018-10-15 15:03:28,True,684-11-5788,BP22-10607,,,,,,,Creatinine,,,,True,due
P22-58549,James,Martinez,015-69-5542,1,46,2018-10-15 15:03:28,True,684-11-5788,BP22-10607,,,,,,,Cl-,,,,True,due
P22-58549,James,Martinez,015-69-5542,1,46,2018-10-15 15:03:28,True,684-11-5788,BP22-10607,,,,,,,Na-,,,,True,due
P22-131567,Lauren,Franco,297-63-1454,1,16,1983-12-21 14:47:47,True,479-50-1739,DBS22-22822,,,,,,,EID,,,,True,due
P22-201099,Debbie,Williams,650-13-1801,2,23,2015-09-07 06:27:41,True,677-64-3144,DBS22-22846,,,,,,,EID,,,,True,due
P22-197384,Kimberly,Schmidt,599-78-4172,2,50,2006-10-06 05:09:08,False,610-62-5724,DBS22-22850,,,,,,,EID,,,,True,due
P22-143876,Daniel,Walter,150-67-3778,3,28,2008-01-12 16:30:04,False,419-19-0458,DBS22-22895,,,,,,,EID,,,,True,due
P22-22282,Robert,Gonzalez,465-44-8801,2,46,1998-03-01 14:41:10,False,793-78-8395,DBS22-22905,,,,,,,EID,,,,True,due
P22-133430,Michael,Garcia,868-82-1225,1,15,1980-02-12 09:07:28,False,294-36-7078,DBS22-22916,,,,,,,EID,,,,True,due
P22-147451,Alexander,Davenport,412-17-1393,1,84,1991-06-04 12:18:42,False,427-12-4767,DBS22-22934,,,,,,,EID,,,,True,due
P22-133961,Diana,Warner,335-75-3766,3,42,2020-02-23 06:13:09,False,036-88-4143,WB22-10414,,,,,,,Na-,,,,True,due
P22-133961,Diana,Warner,335-75-3766,3,42,2020-02-23 06:13:09,False,036-88-4143,WB22-10414,,,,,,,Urea,,,,True,due
P22-133961,Diana,Warner,335-75-3766,3,42,2020-02-23 06:13:09,False,036-88-4143,WB22-10414,,,,,,,Creatinine,,,,True,due
P22-133961,Diana,Warner,335-75-3766,3,42,2020-02-23 06:13:09,False,036-88-4143,BP22-10682,,,,,,,RBC,,,,True,due
P22-133961,Diana,Warner,335-75-3766,3,42,2020-02-23 06:13:09,False,036-88-4143,BP22-10682,,,,,,,WBC,,,,True,due
P22-133961,Diana,Warner,335-75-3766,3,42,2020-02-23 06:13:09,False,036-88-4143,BP22-10682,,,,,,,HGB,,,,True,due
P22-133961,Diana,Warner,335-75-3766,3,42,2020-02-23 06:13:09,False,036-88-4143,BP22-10682,,,,,,,HIV Viral Load,,,,True,due
P22-91934,Tiffany,Gray,679-98-3820,1,85,2008-10-20 13:55:52,True,882-43-7309,BP22-10690,,,,,,,HGB,,,,True,due
P22-91934,Tiffany,Gray,679-98-3820,1,85,2008-10-20 13:55:52,True,882-43-7309,BP22-10690,,,,,,,WBC,,,,True,due
P22-91934,Tiffany,Gray,679-98-3820,1,85,2008-10-20 13:55:52,True,882-43-7309,BP22-10690,,,,,,,HIV Viral Load,,,,True,due
P22-91934,Tiffany,Gray,679-98-3820,1,85,2008-10-20 13:55:52,True,882-43-7309,BP22-10690,,,,,,,RBC,,,,True,due
P22-29090,Cynthia,Smith,198-65-1474,1,15,1985-11-16 13:53:03,True,184-50-7781,DBS22-22979,,,,,,,EID,,,,True,due
