Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status
P22-23840,Gerald,Cordova,293-85-2734,3,54,1998-12-25 13:55:03,True,075-79-3220,WB22-34695,,,,,,,EID,,,,True,due
P22-35539,Mary,Alexander,528-58-1316,2,42,1986-02-28 15:57:17,False,554-45-3075,BP22-35194,,,,,,,EID,,,,True,due
P22-162098,Christopher,Walker,451-02-9583,1,4,2011-04-22 16:01:05,False,725-20-5672,DBS22-76291,,,,,,,EID,,,,True,due
P22-112335,Justin,Cannon,458-04-5730,2,21,1990-04-20 09:59:26,False,425-04-3100,BP22-35298,,,,,,,EID,,,,True,due
P22-202653,Cory,Elliott,011-60-1455,1,11,2015-06-17 07:34:23,False,458-42-2724,DBS22-76524,,,,,,,EID,,,,True,due
P22-109159,Adam,Vincent,434-45-7742,1,19,2019-06-28 14:11:59,False,400-20-6370,DBS22-76606,,,,,,,EID,,,,True,due
P22-126865,Elizabeth,Wolfe,857-44-6884,1,75,2007-04-19 04:27:18,False,127-51-8612,DBS22-76639,,,,,,,EID,,,,True,due
P22-133813,Adam,Vazquez,653-75-3429,2,21,2003-09-12 03:08:47,False,812-54-1859,WB22-34902,,,,,,,RBC,,,,True,due
P22-133813,Adam,Vazquez,653-75-3429,2,21,2003-09-12 03:08:47,False,812-54-1859,WB22-34902,,,,,,,WBC,,,,True,due
P22-133813,Adam,Vazquez,653-75-3429,2,21,2003-09-12 03:08:47,False,812-54-1859,WB22-34902,,,,,,,HIV Viral Load,,,,True,due
P22-133813,Adam,Vazquez,653-75-3429,2,21,2003-09-12 03:08:47,False,812-54-1859,WB22-34902,,,,,,,HGB,,,,True,due
P22-127557,Christina,Bradshaw,460-21-6092,1,36,1987-08-31 07:29:58,False,237-67-0685,DBS22-76723,,,,,,,EID,,,,True,due
P22-119288,David,Potts,132-35-3111,2,66,2013-12-12 08:05:36,False,714-01-5716,BP22-35453,,,,,,,EID,,,,True,due
P22-119288,David,Potts,132-35-3111,2,66,2013-12-12 08:05:36,False,714-01-5716,BP22-35453,,,,,,,WBC,,,,True,due
P22-119288,David,Potts,132-35-3111,2,66,2013-12-12 08:05:36,False,714-01-5716,BP22-35453,,,,,,,RBC,,,,True,due
P22-119288,David,Potts,132-35-3111,2,66,2013-12-12 08:05:36,False,714-01-5716,BP22-35453,,,,,,,HGB,,,,True,due
P22-191150,John,Harris,877-35-1310,3,84,1970-01-25 17:34:20,True,493-40-8089,DBS22-76876,,,,,,,EID,,,,True,due
P22-146206,Emily,Davis,214-89-3951,1,50,2005-11-06 09:09:09,True,720-47-6409,DBS22-76932,,,,,,,EID,,,,True,due
P22-93614,Eric,Hardy,658-92-5565,2,57,1980-06-29 14:36:49,True,624-89-0311,DBS22-76946,,,,,,,EID,,,,True,due
P22-199370,James,Lewis,287-89-1169,3,13,2006-10-21 20:34:09,False,139-84-2431,DBS22-76960,,,,,,,EID,,,,True,due
P22-128662,Isaac,Jackson,464-01-5639,1,2,2011-09-09 04:44:06,False,656-66-0067,WB22-35067,,,,,,,RBC,,,,True,due
P22-128662,Isaac,Jackson,464-01-5639,1,2,2011-09-09 04:44:06,False,656-66-0067,WB22-35067,,,,,,,HIV,,,,True,due
P22-128662,Isaac,Jackson,464-01-5639,1,2,2011-09-09 04:44:06,False,656-66-0067,WB22-35067,,,,,,,WBC,,,,True,due
P22-128662,Isaac,Jackson,464-01-5639,1,2,2011-09-09 04:44:06,False,656-66-0067,WB22-35067,,,,,,,HGB,,,,True,due
P22-193847,Thomas,Caldwell,550-74-8354,3,59,2004-01-03 08:50:09,False,529-83-6628,DBS22-77053,,,,,,,EID,,,,True,due
P22-04842,Michelle,Watkins,357-20-4137,3,57,2009-01-26 09:52:21,True,779-87-6942,DBS22-77063,,,,,,,EID,,,,True,due
P22-62224,Kelly,Holder,510-96-4329,3,68,1979-07-27 14:14:43,True,029-06-8939,WB22-35110,,,,,,,K+,,,,True,due
P22-62224,Kelly,Holder,510-96-4329,3,68,1979-07-27 14:14:43,True,029-06-8939,WB22-35110,,,,,,,Cl-,,,,True,due
P22-62224,Kelly,Holder,510-96-4329,3,68,1979-07-27 14:14:43,True,029-06-8939,WB22-35110,,,,,,,Urea,,,,True,due
P22-62224,Kelly,Holder,510-96-4329,3,68,1979-07-27 14:14:43,True,029-06-8939,WB22-35110,,,,,,,Creatinine,,,,True,due
P22-62224,Kelly,Holder,510-96-4329,3,68,1979-07-27 14:14:43,True,029-06-8939,WB22-35110,,,,,,,Na-,,,,True,due
P22-62224,Kelly,Holder,510-96-4329,3,68,1979-07-27 14:14:43,True,029-06-8939,WB22-35110,,,,,,,HIV Viral Load,,,,True,due
P22-91223,Mercedes,Houston,053-21-8341,1,12,1981-02-28 08:33:50,False,553-81-9817,WB22-35130,,,,,,,Na-,,,,True,due
P22-91223,Mercedes,Houston,053-21-8341,1,12,1981-02-28 08:33:50,False,553-81-9817,WB22-35130,,,,,,,K+,,,,True,due
P22-91223,Mercedes,Houston,053-21-8341,1,12,1981-02-28 08:33:50,False,553-81-9817,WB22-35130,,,,,,,EID,,,,True,due
P22-91223,Mercedes,Houston,053-21-8341,1,12,1981-02-28 08:33:50,False,553-81-9817,WB22-35130,,,,,,,Urea,,,,True,due
P22-91223,Mercedes,Houston,053-21-8341,1,12,1981-02-28 08:33:50,False,553-81-9817,WB22-35130,,,,,,,Creatinine,,,,True,due
P22-91223,Mercedes,Houston,053-21-8341,1,12,1981-02-28 08:33:50,False,553-81-9817,WB22-35130,,,,,,,Cl-,,,,True,due
P22-52102,Michael,Khan,659-37-5759,1,32,1993-01-20 07:11:13,True,718-75-7013,WB22-35136,,,,,,,WBC,,,,True,due
P22-52102,Michael,Khan,659-37-5759,1,32,1993-01-20 07:11:13,True,718-75-7013,WB22-35136,,,,,,,HGB,,,,True,due
P22-52102,Michael,Khan,659-37-5759,1,32,1993-01-20 07:11:13,True,718-75-7013,WB22-35136,,,,,,,RBC,,,,True,due
P22-119561,Travis,Rodriguez,892-49-3043,1,36,1991-10-05 15:41:18,True,097-61-9233,BP22-35694,,,,,,,Cl-,,,,True,due
