Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status
P22-123509,David,Elliott,166-57-7559,1,12,1973-01-09 23:19:13,True,811-92-5101,DBS22-33737,,,,,,,EID,,,,True,due
P22-39164,Lisa,Ramirez,599-49-3739,3,76,1978-10-16 11:27:18,True,735-84-5136,DBS22-33764,,,,,,,EID,,,,True,due
P22-23335,Mallory,Rosales,388-20-1126,3,88,1996-03-05 07:47:04,False,676-31-0481,DBS22-33772,,,,,,,EID,,,,True,due
P22-27984,Jacob,Jones,470-79-2675,2,67,1973-05-04 18:19:55,False,368-15-5502,DBS22-33778,,,,,,,EID,,,,True,due
P22-47926,Katherine,Lynch,448-55-0911,1,4,2020-04-19 06:41:58,True,621-83-9413,BP22-15713,,,,,,,EID,,,,True,due
P22-131154,Rebekah,Harris,363-54-0242,3,44,2020-11-04 06:11:10,True,561-25-2632,BP22-15736,,,,,,,Na-,,,,True,due
P22-131154,Rebekah,Harris,363-54-0242,3,44,2020-11-04 06:11:10,True,561-25-2632,BP22-15736,,,,,,,Cl-,,,,True,due
P22-131154,Rebekah,Harris,363-54-0242,3,44,2020-11-04 06:11:10,True,561-25-2632,BP22-15736,,,,,,,Urea,,,,True,due
P22-131154,Rebekah,Harris,363-54-0242,3,44,2020-11-04 06:11:10,True,561-25-2632,BP22-15736,,,,,,,K+,,,,True,due
P22-131154,Rebekah,Harris,363-54-0242,3,44,2020-11-04 06:11:10,True,561-25-2632,BP22-15736,,,,,,,Creatinine,,,,True,due
P22-175919,Lisa,Torres,090-80-1047,3,27,1982-06-12 21:12:17,False,742-95-0474,DBS22-33869,,,,,,,EID,,,,True,due
P22-85718,Christopher,Rogers,136-48-3903,3,49,2015-02-20 22:39:32,False,821-30-1170,BP22-15774,,,,,,,Creatinine,,,,True,due
