Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status
P22-98209,Ethan,Holt,087-82-0461,3,43,1988-06-17 03:46:31,True,679-39-4206,BP22-13585,,,,,,,Creatinine,,,,True,due
P22-98209,Ethan,Holt,087-82-0461,3,43,1988-06-17 03:46:31,True,679-39-4206,BP22-13585,,,,,,,HIV,,,,True,due
P22-98209,Ethan,Holt,087-82-0461,3,43,1988-06-17 03:46:31,True,679-39-4206,BP22-13585,,,,,,,Urea,,,,True,due
P22-116643,Casey,Jones,358-11-5595,1,2,2005-09-10 22:30:22,True,108-09-9150,DBS22-29189,,,,,,,EID,,,,True,due
P22-146718,Andrea,Sanchez,015-15-5546,2,11,1999-08-21 21:42:25,False,248-13-6550,BP22-13609,,,,,,,EID,,,,True,due
P22-178759,Michael,Gardner,098-84-2427,3,27,1978-04-05 13:19:48,False,461-73-8856,DBS22-29214,,,,,,,EID,,,,True,due
P22-80169,Brandy,Rice,498-29-5622,3,3,1975-01-17 16:53:08,True,265-70-0062,WB22-13254,,,,,,,Urea,,,,True,due
P22-80169,Brandy,Rice,498-29-5622,3,3,1975-01-17 16:53:08,True,265-70-0062,WB22-13254,,,,,,,K+,,,,True,due
P22-80169,Brandy,Rice,498-29-5622,3,3,1975-01-17 16:53:08,True,265-70-0062,WB22-13254,,,,,,,Creatinine,,,,True,due
P22-80169,Brandy,Rice,498-29-5622,3,3,1975-01-17 16:53:08,True,265-70-0062,WB22-13254,,,,,,,Cl-,,,,True,due
P22-80169,Brandy,Rice,498-29-5622,3,3,1975-01-17 16:53:08,True,265-70-0062,WB22-13254,,,,,,,Na-,,,,True,due
P22-146979,Jason,Castaneda,517-69-4626,2,4,1971-04-22 02:59:37,False,261-01-5535,DBS22-29262,,,,,,,EID,,,,True,due
P22-140863,Judy,Cook,302-79-5707,2,32,1996-10-07 12:12:13,True,380-24-2892,BP22-13636,,,,,,,Urea,,,,True,due
P22-140863,Judy,Cook,302-79-5707,2,32,1996-10-07 12:12:13,True,380-24-2892,BP22-13636,,,,,,,K+,,,,True,due
P22-140863,Judy,Cook,302-79-5707,2,32,1996-10-07 12:12:13,True,380-24-2892,BP22-13636,,,,,,,Na-,,,,True,due
P22-140863,Judy,Cook,302-79-5707,2,32,1996-10-07 12:12:13,True,380-24-2892,BP22-13636,,,,,,,Cl-,,,,True,due
P22-140863,Judy,Cook,302-79-5707,2,32,1996-10-07 12:12:13,True,380-24-2892,BP22-13636,,,,,,,HIV,,,,True,due
P22-140863,Judy,Cook,302-79-5707,2,32,1996-10-07 12:12:13,True,380-24-2892,BP22-13636,,,,,,,Creatinine,,,,True,due
P22-22182,Michael,Mcbride,513-19-5204,1,47,1971-04-28 18:35:37,False,281-20-3853,DBS22-34226,,,,,,,EID,,,,True,due
