Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status
P22-80469,Mckenzie,Hall,645-08-6441,2,50,2004-04-29 22:56:33,False,060-13-4547,DBS22-49710,,,,,,,EID,,,,True,due
P22-159295,James,Nelson,210-97-5221,1,69,2011-10-27 03:23:13,True,565-65-6204,DBS22-49737,,,,,,,EID,,,,True,due
P22-14266,Linda,Welch,875-34-9864,3,34,1978-04-01 13:51:26,True,033-30-8867,DBS22-49771,,,,,,,EID,,,,True,due
P22-62238,Susan,Kemp,183-53-7975,2,57,2020-02-27 23:24:26,True,018-06-9317,BP22-23115,,,,,,,K+,,,,True,due
P22-62238,Susan,Kemp,183-53-7975,2,57,2020-02-27 23:24:26,True,018-06-9317,BP22-23115,,,,,,,Urea,,,,True,due
P22-62238,Susan,Kemp,183-53-7975,2,57,2020-02-27 23:24:26,True,018-06-9317,BP22-23115,,,,,,,Cl-,,,,True,due
P22-62238,Susan,Kemp,183-53-7975,2,57,2020-02-27 23:24:26,True,018-06-9317,BP22-23115,,,,,,,Na-,,,,True,due
P22-62238,Susan,Kemp,183-53-7975,2,57,2020-02-27 23:24:26,True,018-06-9317,BP22-23115,,,,,,,HIV Viral Load,,,,True,due
P22-62238,Susan,Kemp,183-53-7975,2,57,2020-02-27 23:24:26,True,018-06-9317,BP22-23115,,,,,,,Creatinine,,,,True,due
P22-78719,Matthew,Watts,145-68-4641,3,28,1996-08-20 01:26:56,True,792-72-3342,DBS22-49817,,,,,,,EID,,,,True,due
P22-192401,Harold,Allen,775-33-7103,3,53,1998-10-03 10:34:28,True,884-07-0132,BP22-23174,,,,,,,Na-,,,,True,due
P22-192401,Harold,Allen,775-33-7103,3,53,1998-10-03 10:34:28,True,884-07-0132,BP22-23174,,,,,,,Urea,,,,True,due
P22-192401,Harold,Allen,775-33-7103,3,53,1998-10-03 10:34:28,True,884-07-0132,BP22-23174,,,,,,,Creatinine,,,,True,due
P22-192401,Harold,Allen,775-33-7103,3,53,1998-10-03 10:34:28,True,884-07-0132,BP22-23174,,,,,,,K+,,,,True,due
P22-192401,Harold,Allen,775-33-7103,3,53,1998-10-03 10:34:28,True,884-07-0132,BP22-23174,,,,,,,Cl-,,,,True,due
P22-192401,Harold,Allen,775-33-7103,3,53,1998-10-03 10:34:28,True,884-07-0132,DBS22-49948,,,,,,,EID,,,,True,due
P22-151293,Travis,Hoffman,848-71-1770,3,45,1985-09-18 14:06:07,True,123-46-5199,BP22-23187,,,,,,,EID,,,,True,due
P22-57847,Melissa,Torres,394-29-1870,2,1,1988-11-04 21:27:06,True,365-14-9145,WB22-24098,,,,,,,Cl-,,,,True,due
P22-57847,Melissa,Torres,394-29-1870,2,1,1988-11-04 21:27:06,True,365-14-9145,WB22-24098,,,,,,,K+,,,,True,due
P22-57847,Melissa,Torres,394-29-1870,2,1,1988-11-04 21:27:06,True,365-14-9145,WB22-24098,,,,,,,Urea,,,,True,due
P22-57847,Melissa,Torres,394-29-1870,2,1,1988-11-04 21:27:06,True,365-14-9145,WB22-24098,,,,,,,HIV Viral Load,,,,True,due
P22-57847,Melissa,Torres,394-29-1870,2,1,1988-11-04 21:27:06,True,365-14-9145,WB22-24098,,,,,,,Na-,,,,True,due
P22-210193,Gina,Ayers,751-03-9349,1,25,1989-11-27 22:38:17,True,844-42-2107,DBS22-52945,,,,,,,EID,,,,True,due
P22-07946,Jennifer,Ramirez,193-29-3117,2,45,1973-06-02 15:55:32,True,365-56-6631,DBS22-52956,,,,,,,EID,,,,True,due
P22-39147,Stacy,Hughes,057-39-6697,2,52,2008-09-21 04:54:24,True,290-13-4155,DBS22-53001,,,,,,,EID,,,,True,due
P22-201312,Donald,Brown,371-47-8574,2,48,2006-06-27 09:05:53,False,797-01-6251,DBS22-53031,,,,,,,EID,,,,True,due
P22-29978,Jaime,Griffith,372-13-1835,1,72,1984-10-20 15:59:32,True,868-37-3489,BP22-24639,,,,,,,HGB,,,,True,due
P22-29978,Jaime,Griffith,372-13-1835,1,72,1984-10-20 15:59:32,True,868-37-3489,BP22-24639,,,,,,,RBC,,,,True,due
P22-29978,Jaime,Griffith,372-13-1835,1,72,1984-10-20 15:59:32,True,868-37-3489,BP22-24639,,,,,,,WBC,,,,True,due
P22-183790,Brandon,Barrett,086-08-4162,3,1,2010-08-05 13:00:46,False,357-99-6003,DBS22-53097,,,,,,,EID,,,,True,due
P22-23683,James,Robertson,492-49-5828,1,62,1996-03-03 06:09:09,True,533-48-7593,BP22-24652,,,,,,,HGB,,,,True,due
P22-23683,James,Robertson,492-49-5828,1,62,1996-03-03 06:09:09,True,533-48-7593,BP22-24652,,,,,,,WBC,,,,True,due
P22-23683,James,Robertson,492-49-5828,1,62,1996-03-03 06:09:09,True,533-48-7593,BP22-24652,,,,,,,HIV,,,,True,due
P22-23683,James,Robertson,492-49-5828,1,62,1996-03-03 06:09:09,True,533-48-7593,BP22-24652,,,,,,,RBC,,,,True,due
P22-135740,Anthony,Woods,143-60-3763,2,62,1978-11-10 19:27:14,False,478-13-5303,BP22-24660,,,,,,,Urea,,,,True,due
P22-135740,Anthony,Woods,143-60-3763,2,62,1978-11-10 19:27:14,False,478-13-5303,BP22-24660,,,,,,,K+,,,,True,due
P22-135740,Anthony,Woods,143-60-3763,2,62,1978-11-10 19:27:14,False,478-13-5303,BP22-24660,,,,,,,Creatinine,,,,True,due
P22-135740,Anthony,Woods,143-60-3763,2,62,1978-11-10 19:27:14,False,478-13-5303,BP22-24660,,,,,,,Cl-,,,,True,due
P22-135740,Anthony,Woods,143-60-3763,2,62,1978-11-10 19:27:14,False,478-13-5303,BP22-24660,,,,,,,Na-,,,,True,due
P22-113692,Kayla,Thomas,848-33-7812,1,31,1988-04-27 01:25:02,False,105-68-4633,DBS22-53191,,,,,,,EID,,,,True,due
P22-94717,Nathan,Garcia,620-15-1214,1,10,1989-03-15 04:14:48,False,463-89-0649,BP22-24700,,,,,,,Cl-,,,,True,due
P22-94717,Nathan,Garcia,620-15-1214,1,10,1989-03-15 04:14:48,False,463-89-0649,BP22-24700,,,,,,,Creatinine,,,,True,due
P22-94717,Nathan,Garcia,620-15-1214,1,10,1989-03-15 04:14:48,False,463-89-0649,BP22-24700,,,,,,,Na-,,,,True,due
P22-94717,Nathan,Garcia,620-15-1214,1,10,1989-03-15 04:14:48,False,463-89-0649,BP22-24700,,,,,,,K+,,,,True,due
P22-94717,Nathan,Garcia,620-15-1214,1,10,1989-03-15 04:14:48,False,463-89-0649,BP22-24700,,,,,,,Urea,,,,True,due
P22-72690,Mario,Moore,044-06-9495,3,10,2001-05-13 02:51:20,True,768-28-7971,DBS22-53243,,,,,,,EID,,,,True,due
P22-14585,Yolanda,Thompson,105-46-1843,1,65,2011-11-25 07:56:01,True,688-93-7353,DBS22-53309,,,,,,,EID,,,,True,due
P22-127504,Anthony,Mcdaniel,086-02-4885,3,12,1986-03-23 04:39:37,True,725-85-5127,DBS22-53332,,,,,,,EID,,,,True,due
P22-79908,James,Santos,566-31-5237,3,61,2007-05-28 16:52:00,False,179-13-1137,DBS22-53378,,,,,,,EID,,,,True,due
P22-12403,Amanda,Hess,016-86-2937,3,12,1973-08-03 02:18:36,False,503-50-9448,BP22-24788,,,,,,,Cl-,,,,True,due
P22-12403,Amanda,Hess,016-86-2937,3,12,1973-08-03 02:18:36,False,503-50-9448,BP22-24788,,,,,,,HIV,,,,True,due
P22-12403,Amanda,Hess,016-86-2937,3,12,1973-08-03 02:18:36,False,503-50-9448,BP22-24788,,,,,,,Creatinine,,,,True,due
P22-12403,Amanda,Hess,016-86-2937,3,12,1973-08-03 02:18:36,False,503-50-9448,BP22-24788,,,,,,,Na-,,,,True,due
P22-12403,Amanda,Hess,016-86-2937,3,12,1973-08-03 02:18:36,False,503-50-9448,BP22-24788,,,,,,,K+,,,,True,due
P22-12403,Amanda,Hess,016-86-2937,3,12,1973-08-03 02:18:36,False,503-50-9448,BP22-24788,,,,,,,Urea,,,,True,due
P22-106903,Jacqueline,Edwards,037-10-8278,1,44,2000-05-17 16:42:43,True,744-14-1018,BP22-24800,,,,,,,EID,,,,True,due
P22-106903,Jacqueline,Edwards,037-10-8278,1,44,2000-05-17 16:42:43,True,744-14-1018,BP22-24800,,,,,,,HGB,,,,True,due
P22-106903,Jacqueline,Edwards,037-10-8278,1,44,2000-05-17 16:42:43,True,744-14-1018,BP22-24800,,,,,,,RBC,,,,True,due
P22-106903,Jacqueline,Edwards,037-10-8278,1,44,2000-05-17 16:42:43,True,744-14-1018,BP22-24800,,,,,,,WBC,,,,True,due
P22-111095,Kimberly,Miles,170-22-4818,1,43,1986-10-26 22:22:52,True,679-56-8700,DBS22-53489,,,,,,,EID,,,,True,due
P22-12817,Katrina,Phillips,003-70-4874,3,67,2004-09-30 10:02:16,False,263-04-3779,WB22-24370,,,,,,,HGB,,,,True,due
P22-12817,Katrina,Phillips,003-70-4874,3,67,2004-09-30 10:02:16,False,263-04-3779,WB22-24370,,,,,,,WBC,,,,True,due
P22-12817,Katrina,Phillips,003-70-4874,3,67,2004-09-30 10:02:16,False,263-04-3779,WB22-24370,,,,,,,RBC,,,,True,due
P22-12817,Katrina,Phillips,003-70-4874,3,67,2004-09-30 10:02:16,False,263-04-3779,WB22-24370,,,,,,,EID,,,,True,due
P22-112970,Kyle,Brown,752-10-5262,2,41,1975-12-11 03:30:08,True,281-51-9902,DBS22-53559,,,,,,,EID,,,,True,due
P22-72319,Casey,Bailey,159-74-0814,2,82,2008-01-07 17:01:28,False,824-01-6549,WB22-22650,,,,,,,RBC,,,,True,due
P22-72319,Casey,Bailey,159-74-0814,2,82,2008-01-07 17:01:28,False,824-01-6549,WB22-22650,,,,,,,WBC,,,,True,due
P22-72319,Casey,Bailey,159-74-0814,2,82,2008-01-07 17:01:28,False,824-01-6549,WB22-22650,,,,,,,EID,,,,True,due
P22-72319,Casey,Bailey,159-74-0814,2,82,2008-01-07 17:01:28,False,824-01-6549,WB22-22650,,,,,,,HGB,,,,True,due
P22-133880,Felicia,Henderson,855-82-8640,3,27,2000-08-16 23:00:23,True,617-88-7943,WB22-22655,,,,,,,Creatinine,,,,True,due
P22-133880,Felicia,Henderson,855-82-8640,3,27,2000-08-16 23:00:23,True,617-88-7943,WB22-22655,,,,,,,Na-,,,,True,due
P22-133880,Felicia,Henderson,855-82-8640,3,27,2000-08-16 23:00:23,True,617-88-7943,WB22-22655,,,,,,,K+,,,,True,due
P22-133880,Felicia,Henderson,855-82-8640,3,27,2000-08-16 23:00:23,True,617-88-7943,WB22-22655,,,,,,,Urea,,,,True,due
P22-133880,Felicia,Henderson,855-82-8640,3,27,2000-08-16 23:00:23,True,617-88-7943,WB22-22655,,,,,,,Cl-,,,,True,due
P22-31345,Nicole,Pham,025-82-1987,3,5,1970-01-30 13:16:30,False,609-76-0732,BP22-23094,,,,,,,Urea,,,,True,due
P22-31345,Nicole,Pham,025-82-1987,3,5,1970-01-30 13:16:30,False,609-76-0732,BP22-23094,,,,,,,Cl-,,,,True,due
P22-31345,Nicole,Pham,025-82-1987,3,5,1970-01-30 13:16:30,False,609-76-0732,BP22-23094,,,,,,,Na-,,,,True,due
P22-31345,Nicole,Pham,025-82-1987,3,5,1970-01-30 13:16:30,False,609-76-0732,BP22-23094,,,,,,,K+,,,,True,due
P22-31345,Nicole,Pham,025-82-1987,3,5,1970-01-30 13:16:30,False,609-76-0732,BP22-23094,,,,,,,Creatinine,,,,True,due
P22-31345,Nicole,Pham,025-82-1987,3,5,1970-01-30 13:16:30,False,609-76-0732,BP22-23094,,,,,,,HIV Viral Load,,,,True,due
P22-138309,Katherine,Hatfield,795-30-4783,3,52,1987-09-23 05:03:46,True,757-28-6806,BP22-23096,,,,,,,WBC,,,,True,due
P22-138309,Katherine,Hatfield,795-30-4783,3,52,1987-09-23 05:03:46,True,757-28-6806,BP22-23096,,,,,,,RBC,,,,True,due
P22-138309,Katherine,Hatfield,795-30-4783,3,52,1987-09-23 05:03:46,True,757-28-6806,BP22-23096,,,,,,,HGB,,,,True,due
P22-156962,Brian,Caldwell,186-65-8590,3,87,2008-07-07 15:01:44,True,732-33-3027,BP22-23113,,,,,,,K+,,,,True,due
P22-156962,Brian,Caldwell,186-65-8590,3,87,2008-07-07 15:01:44,True,732-33-3027,BP22-23113,,,,,,,Cl-,,,,True,due
P22-156962,Brian,Caldwell,186-65-8590,3,87,2008-07-07 15:01:44,True,732-33-3027,BP22-23113,,,,,,,Urea,,,,True,due
P22-156962,Brian,Caldwell,186-65-8590,3,87,2008-07-07 15:01:44,True,732-33-3027,BP22-23113,,,,,,,Na-,,,,True,due
P22-156962,Brian,Caldwell,186-65-8590,3,87,2008-07-07 15:01:44,True,732-33-3027,BP22-23113,,,,,,,HIV,,,,True,due
P22-156962,Brian,Caldwell,186-65-8590,3,87,2008-07-07 15:01:44,True,732-33-3027,BP22-23113,,,,,,,Creatinine,,,,True,due
P22-65510,Patricia,Mckay,720-02-2693,1,72,1986-07-18 16:09:47,True,267-12-2719,WB22-22726,,,,,,,Urea,,,,True,due
P22-65510,Patricia,Mckay,720-02-2693,1,72,1986-07-18 16:09:47,True,267-12-2719,WB22-22726,,,,,,,K+,,,,True,due
P22-65510,Patricia,Mckay,720-02-2693,1,72,1986-07-18 16:09:47,True,267-12-2719,WB22-22726,,,,,,,Cl-,,,,True,due
P22-65510,Patricia,Mckay,720-02-2693,1,72,1986-07-18 16:09:47,True,267-12-2719,WB22-22726,,,,,,,Na-,,,,True,due
P22-65510,Patricia,Mckay,720-02-2693,1,72,1986-07-18 16:09:47,True,267-12-2719,WB22-22726,,,,,,,Creatinine,,,,True,due
P22-155429,Henry,Brown,099-92-1398,3,53,1971-03-15 18:48:14,True,041-63-2119,DBS22-49882,,,,,,,EID,,,,True,due
P22-199840,Rhonda,Fowler,163-75-2437,2,62,1974-05-31 15:25:57,False,154-07-6613,DBS22-49897,,,,,,,EID,,,,True,due
P22-21829,Kim,Lewis,324-64-6680,3,58,1981-12-21 05:43:33,True,577-40-5082,DBS22-49924,,,,,,,EID,,,,True,due
P22-27371,John,Simon,879-47-7962,3,67,2015-07-12 00:51:58,False,753-65-0599,DBS22-49928,,,,,,,EID,,,,True,due
P22-39648,Anthony,Park,764-20-3696,3,68,1972-05-22 03:38:00,True,596-69-6198,BP22-24539,,,,,,,Creatinine,,,,True,due
P22-39648,Anthony,Park,764-20-3696,3,68,1972-05-22 03:38:00,True,596-69-6198,BP22-24539,,,,,,,Urea,,,,True,due
P22-39648,Anthony,Park,764-20-3696,3,68,1972-05-22 03:38:00,True,596-69-6198,BP22-24539,,,,,,,Cl-,,,,True,due
P22-39648,Anthony,Park,764-20-3696,3,68,1972-05-22 03:38:00,True,596-69-6198,BP22-24546,,,,,,,HIV Viral Load,,,,True,due
P22-137506,Christopher,Larsen,730-74-6136,1,62,2006-11-02 11:28:40,False,182-02-7744,DBS22-52923,,,,,,,EID,,,,True,due
P22-145486,Michael,Gallagher,270-22-3735,2,55,1972-05-11 18:12:00,True,369-19-2762,DBS22-52948,,,,,,,EID,,,,True,due
P22-63637,Carmen,Williams,211-71-4202,1,14,1995-12-20 02:15:44,True,327-20-9181,DBS22-53014,,,,,,,EID,,,,True,due
P22-41234,Cory,Hale,351-50-1544,3,90,2001-02-16 12:31:45,True,653-70-2423,DBS22-53035,,,,,,,EID,,,,True,due
P22-132761,Joel,Eaton,287-99-0427,1,25,1981-09-14 23:32:55,False,602-97-8522,DBS22-53051,,,,,,,EID,,,,True,due
P22-68673,Matthew,Coleman,745-55-5719,3,32,1984-12-08 08:53:16,False,431-38-5420,DBS22-53109,,,,,,,EID,,,,True,due
P22-144461,Joseph,Hopkins,318-62-0651,2,27,2016-11-09 02:29:32,False,231-15-4031,DBS22-53147,,,,,,,EID,,,,True,due
P22-11927,Nicole,Thomas,019-05-8585,1,43,1976-05-19 05:48:39,True,868-49-0779,DBS22-53188,,,,,,,EID,,,,True,due
P22-77498,Christopher,Hall,136-20-8062,1,76,2011-02-20 12:39:53,False,210-16-7044,DBS22-53210,,,,,,,EID,,,,True,due
P22-21881,Jennifer,Friedman,837-28-4741,2,23,1998-04-03 17:54:38,True,514-71-6587,DBS22-53238,,,,,,,EID,,,,True,due
P22-181001,Emily,Marshall,480-71-5295,3,76,2014-04-12 21:50:01,False,060-41-9538,DBS22-53362,,,,,,,EID,,,,True,due
P22-46163,Aaron,Martinez,826-61-9634,1,36,1971-10-20 12:10:25,True,410-47-6491,BP22-24778,,,,,,,HGB,,,,True,due
