Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status
P22-80166,Cory,Rodgers,659-08-1251,3,47,1978-10-13 06:40:29,False,462-15-7848,WB22-16403,,,,,,,HGB,,,,True,due
P22-80166,Cory,Rodgers,659-08-1251,3,47,1978-10-13 06:40:29,False,462-15-7848,WB22-16403,,,,,,,RBC,,,,True,due
P22-80166,Cory,Rodgers,659-08-1251,3,47,1978-10-13 06:40:29,False,462-15-7848,WB22-16403,,,,,,,WBC,,,,True,due
P22-80166,Cory,Rodgers,659-08-1251,3,47,1978-10-13 06:40:29,False,462-15-7848,WB22-16403,,,,,,,EID,,,,True,due
P22-120556,Betty,Delacruz,362-20-0385,2,49,1975-02-13 16:05:07,False,893-08-5064,DBS22-35964,,,,,,,EID,,,,True,due
P22-50196,Wesley,Cook,091-16-1241,1,27,2003-03-20 10:44:02,True,002-83-2587,DBS22-35976,,,,,,,EID,,,,True,due
P22-52615,Kathryn,Burton,776-05-7729,3,21,2021-09-18 07:46:39,True,007-97-6710,DBS22-42576,,,,,,,EID,,,,True,due
P22-35852,Dawn,Cooley,026-60-8838,2,70,2021-09-15 22:01:16,False,213-53-8032,DBS22-42684,,,,,,,EID,,,,True,due
P22-179466,Nathan,Powell,667-63-3001,3,54,1987-12-06 02:02:05,True,624-01-0209,DBS22-42746,,,,,,,EID,,,,True,due
P22-134711,Samuel,Wong,305-13-4871,2,47,1983-03-30 12:09:33,False,648-66-8829,DBS22-42887,,,,,,,EID,,,,True,due
P22-186560,Nicholas,Robinson,020-48-1015,3,2,1982-07-10 23:14:32,False,029-56-5619,BP22-19865,,,,,,,HIV,,,,True,due
P22-160475,Rebecca,Garcia,777-91-6510,3,41,2002-11-02 20:05:20,True,809-48-2477,DBS22-42964,,,,,,,EID,,,,True,due
P22-156209,Rachel,Davis,854-27-0414,1,51,1991-07-28 18:18:23,False,841-81-8588,DBS22-43023,,,,,,,EID,,,,True,due
P22-138931,Susan,Murray,586-67-7579,2,56,2006-09-29 12:34:22,False,815-68-6860,BP22-19968,,,,,,,HIV Viral Load,,,,True,due
P22-89039,Anna,Ingram,652-05-4742,2,31,1991-07-21 06:47:13,False,618-21-1465,WB22-19671,,,,,,,Creatinine,,,,True,due
P22-89039,Anna,Ingram,652-05-4742,2,31,1991-07-21 06:47:13,False,618-21-1465,WB22-19671,,,,,,,K+,,,,True,due
P22-89039,Anna,Ingram,652-05-4742,2,31,1991-07-21 06:47:13,False,618-21-1465,WB22-19671,,,,,,,Urea,,,,True,due
P22-89039,Anna,Ingram,652-05-4742,2,31,1991-07-21 06:47:13,False,618-21-1465,WB22-19671,,,,,,,Na-,,,,True,due
P22-89039,Anna,Ingram,652-05-4742,2,31,1991-07-21 06:47:13,False,618-21-1465,WB22-19671,,,,,,,EID,,,,True,due
P22-89039,Anna,Ingram,652-05-4742,2,31,1991-07-21 06:47:13,False,618-21-1465,WB22-19671,,,,,,,Cl-,,,,True,due
P22-19390,Gina,Martinez,819-91-6035,2,10,2005-03-01 16:50:36,True,312-56-5604,DBS22-43167,,,,,,,EID,,,,True,due
P22-28843,Kenneth,Keller,644-82-9011,3,13,2007-06-30 09:47:02,False,244-67-2182,DBS22-43175,,,,,,,EID,,,,True,due
P22-74303,James,Martin,689-38-7300,1,69,1976-12-15 09:02:56,False,097-06-7980,BP22-20064,,,,,,,HIV,,,,True,due
P22-49593,Lindsay,Blackwell,137-04-1160,2,86,2006-02-22 15:27:09,True,745-37-3122,DBS22-43395,,,,,,,EID,,,,True,due
P22-109829,Stephen,Gutierrez,875-14-7989,3,18,2010-02-07 04:02:34,False,053-70-8389,WB22-19808,,,,,,,Na-,,,,True,due
P22-109829,Stephen,Gutierrez,875-14-7989,3,18,2010-02-07 04:02:34,False,053-70-8389,WB22-19808,,,,,,,Creatinine,,,,True,due
P22-109829,Stephen,Gutierrez,875-14-7989,3,18,2010-02-07 04:02:34,False,053-70-8389,WB22-19808,,,,,,,Cl-,,,,True,due
P22-109829,Stephen,Gutierrez,875-14-7989,3,18,2010-02-07 04:02:34,False,053-70-8389,WB22-19808,,,,,,,EID,,,,True,due
P22-109829,Stephen,Gutierrez,875-14-7989,3,18,2010-02-07 04:02:34,False,053-70-8389,WB22-19808,,,,,,,Urea,,,,True,due
P22-109829,Stephen,Gutierrez,875-14-7989,3,18,2010-02-07 04:02:34,False,053-70-8389,WB22-19808,,,,,,,K+,,,,True,due
P22-78053,Misty,Ferguson,799-58-6408,3,72,2019-09-29 15:42:29,False,854-39-9468,DBS22-43556,,,,,,,EID,,,,True,due
P22-199406,Donald,Horn,502-10-4854,2,40,2017-01-08 22:43:58,False,652-92-9323,DBS22-43582,,,,,,,EID,,,,True,due
P22-190070,Patricia,Wagner,720-03-0533,2,58,1977-03-08 09:25:55,False,356-08-9851,DBS22-43595,,,,,,,EID,,,,True,due
P22-185708,David,Love,004-13-1251,1,60,1990-05-03 16:17:14,True,289-85-3118,DBS22-43627,,,,,,,EID,,,,True,due
P22-160734,Mary,Hester,314-08-2494,1,36,1983-01-07 18:37:41,True,892-05-2937,WB22-19905,,,,,,,Creatinine,,,,True,due
P22-160734,Mary,Hester,314-08-2494,1,36,1983-01-07 18:37:41,True,892-05-2937,WB22-19905,,,,,,,K+,,,,True,due
P22-160734,Mary,Hester,314-08-2494,1,36,1983-01-07 18:37:41,True,892-05-2937,WB22-19905,,,,,,,HIV,,,,True,due
P22-160734,Mary,Hester,314-08-2494,1,36,1983-01-07 18:37:41,True,892-05-2937,WB22-19905,,,,,,,Na-,,,,True,due
P22-160734,Mary,Hester,314-08-2494,1,36,1983-01-07 18:37:41,True,892-05-2937,WB22-19905,,,,,,,Urea,,,,True,due
P22-160734,Mary,Hester,314-08-2494,1,36,1983-01-07 18:37:41,True,892-05-2937,WB22-19905,,,,,,,Cl-,,,,True,due
