Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status
P22-13301,David,Campbell,193-74-6438,1,48,1976-08-31 21:30:02,True,345-16-7982,BP22-29477,,,,,,,HGB,,,,True,due
P22-13301,David,Campbell,193-74-6438,1,48,1976-08-31 21:30:02,True,345-16-7982,BP22-29477,,,,,,,WBC,,,,True,due
P22-45231,William,Gomez,810-52-0447,3,41,1986-11-19 22:27:16,False,499-53-3678,DBS22-63548,,,,,,,EID,,,,True,due
P22-29601,Anna,Ramsey,741-66-6441,1,37,2011-09-01 23:40:03,False,490-64-2546,DBS22-63567,,,,,,,EID,,,,True,due
P22-183507,Brandon,Johnson,558-78-8861,1,83,1993-01-13 11:38:04,False,662-42-8007,BP22-29517,,,,,,,HIV Viral Load,,,,True,due
P22-77030,Tiffany,Walker,508-41-0615,3,85,2004-07-10 19:36:08,False,550-34-0665,BP22-29519,,,,,,,K+,,,,True,due
P22-77030,Tiffany,Walker,508-41-0615,3,85,2004-07-10 19:36:08,False,550-34-0665,BP22-29519,,,,,,,Na-,,,,True,due
P22-183507,Brandon,Johnson,558-78-8861,1,83,1993-01-13 11:38:04,False,662-42-8007,DBS22-63606,,,,,,,EID,,,,True,due
P22-77030,Tiffany,Walker,508-41-0615,3,85,2004-07-10 19:36:08,False,550-34-0665,BP22-29519,,,,,,,Creatinine,,,,True,due
P22-77030,Tiffany,Walker,508-41-0615,3,85,2004-07-10 19:36:08,False,550-34-0665,BP22-29519,,,,,,,HIV,,,,True,due
P22-77030,Tiffany,Walker,508-41-0615,3,85,2004-07-10 19:36:08,False,550-34-0665,BP22-29519,,,,,,,Urea,,,,True,due
P22-77030,Tiffany,Walker,508-41-0615,3,85,2004-07-10 19:36:08,False,550-34-0665,BP22-29519,,,,,,,Cl-,,,,True,due
P22-40253,Ashley,Miller,476-84-9397,3,38,1995-05-20 08:25:17,False,245-10-4256,WB22-29024,,,,,,,Na-,,,,True,due
P22-40253,Ashley,Miller,476-84-9397,3,38,1995-05-20 08:25:17,False,245-10-4256,WB22-29024,,,,,,,Cl-,,,,True,due
P22-40253,Ashley,Miller,476-84-9397,3,38,1995-05-20 08:25:17,False,245-10-4256,WB22-29024,,,,,,,Urea,,,,True,due
P22-40253,Ashley,Miller,476-84-9397,3,38,1995-05-20 08:25:17,False,245-10-4256,WB22-29024,,,,,,,Creatinine,,,,True,due
P22-40253,Ashley,Miller,476-84-9397,3,38,1995-05-20 08:25:17,False,245-10-4256,WB22-29024,,,,,,,HIV Viral Load,,,,True,due
P22-40253,Ashley,Miller,476-84-9397,3,38,1995-05-20 08:25:17,False,245-10-4256,WB22-29024,,,,,,,K+,,,,True,due
P22-40253,Ashley,Miller,476-84-9397,3,38,1995-05-20 08:25:17,False,245-10-4256,BP22-29526,,,,,,,K+,,,,True,due
P22-40253,Ashley,Miller,476-84-9397,3,38,1995-05-20 08:25:17,False,245-10-4256,BP22-29526,,,,,,,Na-,,,,True,due
P22-40253,Ashley,Miller,476-84-9397,3,38,1995-05-20 08:25:17,False,245-10-4256,BP22-29526,,,,,,,Creatinine,,,,True,due
P22-40253,Ashley,Miller,476-84-9397,3,38,1995-05-20 08:25:17,False,245-10-4256,BP22-29526,,,,,,,Cl-,,,,True,due
P22-40253,Ashley,Miller,476-84-9397,3,38,1995-05-20 08:25:17,False,245-10-4256,BP22-29526,,,,,,,Urea,,,,True,due
P22-99716,Gary,Wheeler,753-65-6586,2,14,1986-08-19 11:51:07,False,046-72-5947,DBS22-63638,,,,,,,EID,,,,True,due
P22-144463,Justin,Harrington,687-19-6921,3,7,2001-11-16 15:25:44,False,169-67-8570,BP22-29546,,,,,,,EID,,,,True,due
P22-144463,Justin,Harrington,687-19-6921,3,7,2001-11-16 15:25:44,False,169-67-8570,BP22-29546,,,,,,,K+,,,,True,due
P22-144463,Justin,Harrington,687-19-6921,3,7,2001-11-16 15:25:44,False,169-67-8570,BP22-29546,,,,,,,Urea,,,,True,due
P22-144463,Justin,Harrington,687-19-6921,3,7,2001-11-16 15:25:44,False,169-67-8570,BP22-29546,,,,,,,Cl-,,,,True,due
P22-144463,Justin,Harrington,687-19-6921,3,7,2001-11-16 15:25:44,False,169-67-8570,BP22-29546,,,,,,,Na-,,,,True,due
P22-144463,Justin,Harrington,687-19-6921,3,7,2001-11-16 15:25:44,False,169-67-8570,BP22-29546,,,,,,,Creatinine,,,,True,due
P22-188280,Jared,Crawford,145-87-6971,1,65,1989-08-22 14:26:57,True,074-91-5816,DBS22-63678,,,,,,,EID,,,,True,due
P22-53389,Nicholas,Rodriguez,764-63-9931,3,13,1977-04-25 03:59:33,False,602-88-3317,DBS22-63698,,,,,,,EID,,,,True,due
P22-150316,Mary,Guzman,080-61-2300,1,82,2001-04-10 18:33:58,False,177-55-1144,DBS22-63707,,,,,,,EID,,,,True,due
P22-167600,Darren,Garrett,503-33-3325,1,13,2002-11-15 00:53:34,True,137-10-9051,BP22-29571,,,,,,,HGB,,,,True,due
P22-167600,Darren,Garrett,503-33-3325,1,13,2002-11-15 00:53:34,True,137-10-9051,BP22-29571,,,,,,,WBC,,,,True,due
P22-167600,Darren,Garrett,503-33-3325,1,13,2002-11-15 00:53:34,True,137-10-9051,BP22-29571,,,,,,,HIV,,,,True,due
P22-167600,Darren,Garrett,503-33-3325,1,13,2002-11-15 00:53:34,True,137-10-9051,BP22-29571,,,,,,,RBC,,,,True,due
P22-169552,John,Lutz,617-83-5411,2,11,1982-09-18 16:44:23,False,878-74-2827,DBS22-63740,,,,,,,EID,,,,True,due
P22-169552,John,Lutz,617-83-5411,2,11,1982-09-18 16:44:23,False,878-74-2827,DBS22-63743,,,,,,,EID,,,,True,due
P22-44379,James,Cooper,303-21-1182,2,55,2003-01-25 20:34:38,False,544-67-7464,DBS22-63749,,,,,,,EID,,,,True,due
P22-77984,Heather,Baker,110-66-0857,1,76,1972-10-13 23:47:32,False,090-06-0676,DBS22-63755,,,,,,,EID,,,,True,due
P22-30972,Robert,Wade,841-01-7035,2,73,2020-12-18 21:57:10,True,489-77-1806,BP22-29603,,,,,,,K+,,,,True,due
P22-30972,Robert,Wade,841-01-7035,2,73,2020-12-18 21:57:10,True,489-77-1806,BP22-29603,,,,,,,HIV Viral Load,,,,True,due
P22-30972,Robert,Wade,841-01-7035,2,73,2020-12-18 21:57:10,True,489-77-1806,BP22-29603,,,,,,,Urea,,,,True,due
P22-30972,Robert,Wade,841-01-7035,2,73,2020-12-18 21:57:10,True,489-77-1806,BP22-29603,,,,,,,Na-,,,,True,due
P22-30972,Robert,Wade,841-01-7035,2,73,2020-12-18 21:57:10,True,489-77-1806,BP22-29603,,,,,,,Cl-,,,,True,due
P22-30972,Robert,Wade,841-01-7035,2,73,2020-12-18 21:57:10,True,489-77-1806,BP22-29603,,,,,,,Creatinine,,,,True,due
