Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status
P22-178150,Kimberly,Lewis,525-73-7690,2,44,2008-03-29 01:37:18,True,039-60-5477,BP22-18116,,,,,,,HGB,,,,True,due
P22-178150,Kimberly,Lewis,525-73-7690,2,44,2008-03-29 01:37:18,True,039-60-5477,BP22-18116,,,,,,,EID,,,,True,due
P22-01971,Kimberly,Mcguire,736-68-5819,3,68,1981-03-19 04:19:26,True,302-55-1234,WB22-17837,,,,,,,RBC,,,,True,due
P22-01971,Kimberly,Mcguire,736-68-5819,3,68,1981-03-19 04:19:26,True,302-55-1234,WB22-17837,,,,,,,WBC,,,,True,due
P22-01971,Kimberly,Mcguire,736-68-5819,3,68,1981-03-19 04:19:26,True,302-55-1234,WB22-17837,,,,,,,HGB,,,,True,due
P22-197474,Thomas,Navarro,135-93-7705,2,3,2009-06-01 01:25:52,False,115-40-1222,DBS22-39127,,,,,,,EID,,,,True,due
P22-07326,Ricky,Chang,334-61-2379,2,87,1971-08-13 20:44:32,True,298-43-0005,WB22-17883,,,,,,,Cl-,,,,True,due
P22-07326,Ricky,Chang,334-61-2379,2,87,1971-08-13 20:44:32,True,298-43-0005,WB22-17883,,,,,,,Urea,,,,True,due
P22-07326,Ricky,Chang,334-61-2379,2,87,1971-08-13 20:44:32,True,298-43-0005,WB22-17883,,,,,,,Creatinine,,,,True,due
P22-07326,Ricky,Chang,334-61-2379,2,87,1971-08-13 20:44:32,True,298-43-0005,WB22-17883,,,,,,,K+,,,,True,due
P22-07326,Ricky,Chang,334-61-2379,2,87,1971-08-13 20:44:32,True,298-43-0005,WB22-17883,,,,,,,Na-,,,,True,due
P22-179686,Lisa,Thornton,539-13-7349,3,81,2005-11-11 13:47:46,True,705-38-3576,BP22-18195,,,,,,,HGB,,,,True,due
P22-179686,Lisa,Thornton,539-13-7349,3,81,2005-11-11 13:47:46,True,705-38-3576,BP22-18195,,,,,,,HIV,,,,True,due
P22-179686,Lisa,Thornton,539-13-7349,3,81,2005-11-11 13:47:46,True,705-38-3576,BP22-18195,,,,,,,RBC,,,,True,due
P22-179686,Lisa,Thornton,539-13-7349,3,81,2005-11-11 13:47:46,True,705-38-3576,BP22-18195,,,,,,,WBC,,,,True,due
P22-166761,Gary,Irwin,106-71-6022,1,20,2011-12-16 08:38:25,True,079-13-6930,DBS22-39261,,,,,,,EID,,,,True,due
P22-12738,Samuel,Benson,072-84-6582,3,53,1983-05-27 23:22:40,False,282-09-0287,BP22-18237,,,,,,,RBC,,,,True,due
P22-12738,Samuel,Benson,072-84-6582,3,53,1983-05-27 23:22:40,False,282-09-0287,BP22-18237,,,,,,,HIV,,,,True,due
P22-12738,Samuel,Benson,072-84-6582,3,53,1983-05-27 23:22:40,False,282-09-0287,BP22-18237,,,,,,,HGB,,,,True,due
P22-12738,Samuel,Benson,072-84-6582,3,53,1983-05-27 23:22:40,False,282-09-0287,BP22-18237,,,,,,,WBC,,,,True,due
P22-39062,Brandon,Sanford,805-10-3791,3,71,2014-03-22 22:41:19,False,388-10-8557,WB22-17930,,,,,,,HIV Viral Load,,,,True,due
