Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status
P22-129652,Michelle,Hunter,847-28-0352,2,88,1982-04-11 13:47:34,True,102-39-5069,WB22-11162,,,,,,,WBC,,,,True,due
P22-129652,Michelle,Hunter,847-28-0352,2,88,1982-04-11 13:47:34,True,102-39-5069,WB22-11162,,,,,,,HGB,,,,True,due
P22-129652,Michelle,Hunter,847-28-0352,2,88,1982-04-11 13:47:34,True,102-39-5069,WB22-11162,,,,,,,RBC,,,,True,due
P22-58483,Shannon,Moreno,563-56-8205,3,27,1975-09-30 23:13:02,False,481-77-2252,BP22-11405,,,,,,,Cl-,,,,True,due
P22-58483,Shannon,Moreno,563-56-8205,3,27,1975-09-30 23:13:02,False,481-77-2252,BP22-11405,,,,,,,Creatinine,,,,True,due
P22-58483,Shannon,Moreno,563-56-8205,3,27,1975-09-30 23:13:02,False,481-77-2252,BP22-11405,,,,,,,Na-,,,,True,due
P22-58483,Shannon,Moreno,563-56-8205,3,27,1975-09-30 23:13:02,False,481-77-2252,BP22-11405,,,,,,,Urea,,,,True,due
P22-58483,Shannon,Moreno,563-56-8205,3,27,1975-09-30 23:13:02,False,481-77-2252,BP22-11405,,,,,,,K+,,,,True,due
P22-58483,Shannon,Moreno,563-56-8205,3,27,1975-09-30 23:13:02,False,481-77-2252,BP22-11405,,,,,,,HIV Viral Load,,,,True,due
P22-24627,Albert,Jones,682-16-9601,3,41,1987-03-18 09:15:56,True,419-75-6828,WB22-11261,,,,,,,HIV Viral Load,,,,True,due
P22-61708,Rachel,Hunter,822-62-5886,1,75,1998-10-24 02:29:56,True,554-49-6006,DBS22-24712,,,,,,,EID,,,,True,due
P22-24870,Kevin,Delgado,698-21-9476,1,8,2005-08-21 08:57:48,True,221-94-6416,WB22-11299,,,,,,,RBC,,,,True,due
P22-24870,Kevin,Delgado,698-21-9476,1,8,2005-08-21 08:57:48,True,221-94-6416,WB22-11299,,,,,,,HGB,,,,True,due
P22-24870,Kevin,Delgado,698-21-9476,1,8,2005-08-21 08:57:48,True,221-94-6416,WB22-11299,,,,,,,WBC,,,,True,due
P22-98530,Jason,Lindsey,592-08-3517,3,89,2009-12-25 14:24:45,False,237-23-9259,BP22-11595,,,,,,,WBC,,,,True,due
P22-98530,Jason,Lindsey,592-08-3517,3,89,2009-12-25 14:24:45,False,237-23-9259,BP22-11595,,,,,,,HGB,,,,True,due
P22-98530,Jason,Lindsey,592-08-3517,3,89,2009-12-25 14:24:45,False,237-23-9259,BP22-11595,,,,,,,RBC,,,,True,due
P22-114984,Ryan,Mcclain,644-88-7657,1,72,2005-06-20 04:33:01,True,434-84-7704,DBS22-25072,,,,,,,EID,,,,True,due
P22-174020,Brittany,Richards,344-75-8337,1,7,1998-05-01 03:12:15,True,669-79-0433,DBS22-25096,,,,,,,EID,,,,True,due
P22-130488,Robert,Bradley,624-57-6835,2,79,1991-06-17 16:39:38,True,207-24-0958,BP22-11723,,,,,,,Urea,,,,True,due
