Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status
P22-143577,Ryan,Newman,760-61-2926,3,75,1989-09-17 04:16:12,False,539-80-8215,WB22-30769,,,,,,,K+,,,,True,due
P22-143577,Ryan,Newman,760-61-2926,3,75,1989-09-17 04:16:12,False,539-80-8215,WB22-30769,,,,,,,Na-,,,,True,due
P22-143577,Ryan,Newman,760-61-2926,3,75,1989-09-17 04:16:12,False,539-80-8215,WB22-30769,,,,,,,Cl-,,,,True,due
P22-143577,Ryan,Newman,760-61-2926,3,75,1989-09-17 04:16:12,False,539-80-8215,WB22-30769,,,,,,,Creatinine,,,,True,due
P22-143577,Ryan,Newman,760-61-2926,3,75,1989-09-17 04:16:12,False,539-80-8215,WB22-30769,,,,,,,Urea,,,,True,due
P22-199073,Lindsay,Ferguson,048-47-5717,3,3,1971-11-21 07:11:33,False,745-22-9528,DBS22-67539,,,,,,,EID,,,,True,due
P22-127749,Robert,Williams,076-46-6855,1,4,1979-03-09 01:43:37,False,354-60-1728,DBS22-67688,,,,,,,EID,,,,True,due
P22-80748,Theresa,Bowen,549-43-7726,2,49,1975-01-15 02:41:37,True,302-22-6388,WB22-30858,,,,,,,EID,,,,True,due
P22-42349,Charles,Clarke,806-57-4233,3,69,1977-06-30 00:50:55,True,885-46-7390,DBS22-67747,,,,,,,EID,,,,True,due
P22-200988,Pamela,Beltran,890-18-9740,1,47,2007-09-29 20:15:59,True,841-18-0889,BP22-31354,,,,,,,RBC,,,,True,due
P22-200988,Pamela,Beltran,890-18-9740,1,47,2007-09-29 20:15:59,True,841-18-0889,BP22-31354,,,,,,,WBC,,,,True,due
P22-200988,Pamela,Beltran,890-18-9740,1,47,2007-09-29 20:15:59,True,841-18-0889,BP22-31354,,,,,,,HIV,,,,True,due
P22-200988,Pamela,Beltran,890-18-9740,1,47,2007-09-29 20:15:59,True,841-18-0889,BP22-31354,,,,,,,HGB,,,,True,due
P22-67618,Jennifer,Allen,353-52-4063,3,1,1978-11-15 21:20:35,False,103-09-0768,DBS22-67830,,,,,,,EID,,,,True,due
P22-101090,Curtis,Palmer,273-37-4350,3,17,1990-11-12 17:14:43,False,200-04-6959,DBS22-68022,,,,,,,EID,,,,True,due
P22-150272,Timothy,Turner,738-50-9918,1,41,2009-06-11 19:25:13,True,772-02-1570,WB22-31039,,,,,,,EID,,,,True,due
P22-150272,Timothy,Turner,738-50-9918,1,41,2009-06-11 19:25:13,True,772-02-1570,WB22-31039,,,,,,,Na-,,,,True,due
P22-150272,Timothy,Turner,738-50-9918,1,41,2009-06-11 19:25:13,True,772-02-1570,WB22-31039,,,,,,,Cl-,,,,True,due
P22-150272,Timothy,Turner,738-50-9918,1,41,2009-06-11 19:25:13,True,772-02-1570,WB22-31039,,,,,,,K+,,,,True,due
P22-150272,Timothy,Turner,738-50-9918,1,41,2009-06-11 19:25:13,True,772-02-1570,WB22-31039,,,,,,,Urea,,,,True,due
P22-150272,Timothy,Turner,738-50-9918,1,41,2009-06-11 19:25:13,True,772-02-1570,WB22-31039,,,,,,,Creatinine,,,,True,due
P22-99416,Jessica,Barnes,017-57-1424,2,12,1993-08-22 04:42:14,True,199-26-8475,DBS22-68256,,,,,,,EID,,,,True,due
P22-187481,David,Smith,625-10-3013,1,1,2008-03-19 03:40:02,False,179-76-6961,DBS22-68273,,,,,,,EID,,,,True,due
P22-81273,Sophia,Hall,156-82-9079,3,18,2007-03-05 14:24:19,False,855-70-7390,WB22-31058,,,,,,,WBC,,,,True,due
P22-81273,Sophia,Hall,156-82-9079,3,18,2007-03-05 14:24:19,False,855-70-7390,WB22-31058,,,,,,,RBC,,,,True,due
P22-81273,Sophia,Hall,156-82-9079,3,18,2007-03-05 14:24:19,False,855-70-7390,WB22-31058,,,,,,,HGB,,,,True,due
P22-81273,Sophia,Hall,156-82-9079,3,18,2007-03-05 14:24:19,False,855-70-7390,WB22-31058,,,,,,,HIV,,,,True,due
P22-28872,Carrie,Williams,424-15-6159,2,33,1974-08-06 20:59:36,False,231-80-4635,BP22-37371,,,,,,,WBC,,,,True,due
P22-28872,Carrie,Williams,424-15-6159,2,33,1974-08-06 20:59:36,False,231-80-4635,BP22-37371,,,,,,,HGB,,,,True,due
P22-28872,Carrie,Williams,424-15-6159,2,33,1974-08-06 20:59:36,False,231-80-4635,BP22-37371,,,,,,,RBC,,,,True,due
P22-205338,Chase,Smith,500-93-4132,2,72,2002-06-12 23:24:15,True,734-24-4788,WB22-36838,,,,,,,HIV Viral Load,,,,True,due
P22-200120,Sabrina,Rodriguez,140-39-8336,1,32,1987-12-21 05:05:26,False,345-32-3077,DBS22-80857,,,,,,,EID,,,,True,due
P22-53309,Jonathan,Nguyen,272-34-7000,1,72,1972-11-26 12:25:37,True,353-68-5466,BP22-37456,,,,,,,EID,,,,True,due
P22-72665,Tracy,Campos,440-82-5710,1,29,1988-08-13 12:03:15,False,744-55-9988,DBS22-80931,,,,,,,EID,,,,True,due
P22-18505,John,Wilson,182-19-8926,2,83,1977-10-14 17:19:08,True,161-44-7944,BP22-37514,,,,,,,Creatinine,,,,True,due
P22-18505,John,Wilson,182-19-8926,2,83,1977-10-14 17:19:08,True,161-44-7944,BP22-37514,,,,,,,K+,,,,True,due
P22-18505,John,Wilson,182-19-8926,2,83,1977-10-14 17:19:08,True,161-44-7944,BP22-37514,,,,,,,Cl-,,,,True,due
P22-18505,John,Wilson,182-19-8926,2,83,1977-10-14 17:19:08,True,161-44-7944,BP22-37514,,,,,,,Urea,,,,True,due
P22-18505,John,Wilson,182-19-8926,2,83,1977-10-14 17:19:08,True,161-44-7944,BP22-37514,,,,,,,HIV,,,,True,due
P22-18505,John,Wilson,182-19-8926,2,83,1977-10-14 17:19:08,True,161-44-7944,BP22-37514,,,,,,,Na-,,,,True,due
P22-122331,Cameron,Espinoza,061-99-2045,1,75,1997-03-10 09:32:59,True,219-71-2604,BP22-37575,,,,,,,HGB,,,,True,due
P22-122331,Cameron,Espinoza,061-99-2045,1,75,1997-03-10 09:32:59,True,219-71-2604,BP22-37575,,,,,,,WBC,,,,True,due
P22-122331,Cameron,Espinoza,061-99-2045,1,75,1997-03-10 09:32:59,True,219-71-2604,BP22-37575,,,,,,,RBC,,,,True,due
P22-80150,Steven,Harmon,627-10-0636,2,8,1986-03-17 13:04:57,True,793-51-8255,DBS22-81142,,,,,,,EID,,,,True,due
P22-177572,Brandon,Martinez,441-57-5535,2,24,2006-07-10 09:07:08,False,704-24-3771,DBS22-81314,,,,,,,EID,,,,True,due
