Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status
P22-199361,Jonathan,Hill,788-99-7433,2,59,1999-07-18 01:19:48,False,291-92-0006,WB22-34129,,,,,,,Urea,,,,True,due
P22-199361,Jonathan,Hill,788-99-7433,2,59,1999-07-18 01:19:48,False,291-92-0006,WB22-34129,,,,,,,Na-,,,,True,due
P22-199361,Jonathan,Hill,788-99-7433,2,59,1999-07-18 01:19:48,False,291-92-0006,WB22-34129,,,,,,,Creatinine,,,,True,due
P22-199361,Jonathan,Hill,788-99-7433,2,59,1999-07-18 01:19:48,False,291-92-0006,WB22-34129,,,,,,,EID,,,,True,due
P22-157966,Gary,Knapp,894-57-6417,2,41,2002-07-21 12:56:56,True,380-26-5589,BP22-34609,,,,,,,EID,,,,True,due
P22-42878,John,Smith,807-92-6485,1,74,1996-06-04 09:25:08,True,225-34-5179,BP22-34628,,,,,,,Cl-,,,,True,due
P22-42878,John,Smith,807-92-6485,1,74,1996-06-04 09:25:08,True,225-34-5179,BP22-34628,,,,,,,Creatinine,,,,True,due
P22-42878,John,Smith,807-92-6485,1,74,1996-06-04 09:25:08,True,225-34-5179,BP22-34628,,,,,,,Na-,,,,True,due
P22-42878,John,Smith,807-92-6485,1,74,1996-06-04 09:25:08,True,225-34-5179,BP22-34628,,,,,,,Urea,,,,True,due
P22-42878,John,Smith,807-92-6485,1,74,1996-06-04 09:25:08,True,225-34-5179,BP22-34628,,,,,,,K+,,,,True,due
P22-30554,Roberto,Jacobson,228-23-7929,2,16,1990-04-02 21:18:20,False,249-96-7081,BP22-34649,,,,,,,WBC,,,,True,due
P22-30554,Roberto,Jacobson,228-23-7929,2,16,1990-04-02 21:18:20,False,249-96-7081,BP22-34649,,,,,,,RBC,,,,True,due
P22-30554,Roberto,Jacobson,228-23-7929,2,16,1990-04-02 21:18:20,False,249-96-7081,BP22-34649,,,,,,,HGB,,,,True,due
P22-30554,Roberto,Jacobson,228-23-7929,2,16,1990-04-02 21:18:20,False,249-96-7081,BP22-34649,,,,,,,HIV,,,,True,due
P22-168071,Renee,Avila,657-27-9433,3,1,1995-10-10 23:19:09,True,200-59-9955,DBS22-75119,,,,,,,EID,,,,True,due
P22-154582,Lisa,Wright,010-75-0312,3,73,2016-07-29 00:23:31,True,471-95-1154,DBS22-75151,,,,,,,EID,,,,True,due
P22-202036,John,Harper,798-93-1111,1,28,2010-03-17 13:48:27,False,622-01-4844,DBS22-75175,,,,,,,EID,,,,True,due
P22-202036,John,Harper,798-93-1111,1,28,2010-03-17 13:48:27,False,622-01-4844,DBS22-75182,,,,,,,EID,,,,True,due
P22-156211,Christina,Garcia,255-08-3950,2,46,1989-11-20 20:19:46,False,696-71-0188,BP22-34709,,,,,,,HIV Viral Load,,,,True,due
P22-156460,Michelle,Smith,866-45-3380,1,88,2005-04-22 00:20:23,True,716-94-8808,WB22-34241,,,,,,,HIV,,,,True,due
P22-36207,Bonnie,Marquez,600-35-2477,3,36,2014-02-16 02:36:14,False,189-64-9392,DBS22-75329,,,,,,,EID,,,,True,due
P22-118647,James,Hill,433-07-7546,1,88,1980-12-17 04:03:14,True,090-88-1392,DBS22-75351,,,,,,,EID,,,,True,due
P22-05189,Mary,Michael,567-29-2290,1,86,2008-05-30 02:31:07,True,556-52-1471,DBS22-75359,,,,,,,EID,,,,True,due
P22-139551,Yvonne,Huber,098-42-4339,3,60,1977-10-12 09:13:39,True,310-01-1857,BP22-37745,,,,,,,K+,,,,True,due
P22-139551,Yvonne,Huber,098-42-4339,3,60,1977-10-12 09:13:39,True,310-01-1857,BP22-37745,,,,,,,Urea,,,,True,due
P22-139551,Yvonne,Huber,098-42-4339,3,60,1977-10-12 09:13:39,True,310-01-1857,BP22-37745,,,,,,,Cl-,,,,True,due
P22-139551,Yvonne,Huber,098-42-4339,3,60,1977-10-12 09:13:39,True,310-01-1857,BP22-37745,,,,,,,Na-,,,,True,due
P22-139551,Yvonne,Huber,098-42-4339,3,60,1977-10-12 09:13:39,True,310-01-1857,BP22-37745,,,,,,,Creatinine,,,,True,due
P22-68108,Erin,Baker,518-10-4604,3,15,1985-10-02 16:32:12,False,770-25-1726,BP22-37790,,,,,,,HGB,,,,True,due
P22-68108,Erin,Baker,518-10-4604,3,15,1985-10-02 16:32:12,False,770-25-1726,BP22-37790,,,,,,,WBC,,,,True,due
P22-68108,Erin,Baker,518-10-4604,3,15,1985-10-02 16:32:12,False,770-25-1726,BP22-37790,,,,,,,RBC,,,,True,due
P22-68108,Erin,Baker,518-10-4604,3,15,1985-10-02 16:32:12,False,770-25-1726,BP22-37790,,,,,,,HIV,,,,True,due
P22-186416,David,Sutton,062-40-8818,2,24,2006-08-24 01:47:44,False,005-43-3006,BP22-37809,,,,,,,RBC,,,,True,due
P22-186416,David,Sutton,062-40-8818,2,24,2006-08-24 01:47:44,False,005-43-3006,BP22-37809,,,,,,,WBC,,,,True,due
P22-186416,David,Sutton,062-40-8818,2,24,2006-08-24 01:47:44,False,005-43-3006,BP22-37809,,,,,,,HIV Viral Load,,,,True,due
P22-186416,David,Sutton,062-40-8818,2,24,2006-08-24 01:47:44,False,005-43-3006,BP22-37809,,,,,,,HGB,,,,True,due
P22-145284,Timothy,Mcbride,825-37-3106,2,41,1986-05-23 11:39:26,True,802-58-6675,DBS22-81657,,,,,,,EID,,,,True,due
P22-193532,Andrea,Norris,485-81-1526,2,31,2002-03-06 06:24:05,True,383-37-5353,WB22-37257,,,,,,,Cl-,,,,True,due
P22-193532,Andrea,Norris,485-81-1526,2,31,2002-03-06 06:24:05,True,383-37-5353,WB22-37257,,,,,,,Creatinine,,,,True,due
P22-193532,Andrea,Norris,485-81-1526,2,31,2002-03-06 06:24:05,True,383-37-5353,WB22-37257,,,,,,,EID,,,,True,due
P22-193532,Andrea,Norris,485-81-1526,2,31,2002-03-06 06:24:05,True,383-37-5353,WB22-37257,,,,,,,K+,,,,True,due
P22-193532,Andrea,Norris,485-81-1526,2,31,2002-03-06 06:24:05,True,383-37-5353,WB22-37257,,,,,,,Urea,,,,True,due
P22-193532,Andrea,Norris,485-81-1526,2,31,2002-03-06 06:24:05,True,383-37-5353,WB22-37257,,,,,,,Na-,,,,True,due
P22-31721,Kelli,Mitchell,685-99-5806,3,14,2006-05-24 15:46:12,False,516-13-4068,DBS22-81698,,,,,,,EID,,,,True,due
P22-193988,Audrey,Smith,373-01-8785,2,51,1992-11-12 02:38:23,True,361-77-1476,WB22-37284,,,,,,,Creatinine,,,,True,due
P22-193988,Audrey,Smith,373-01-8785,2,51,1992-11-12 02:38:23,True,361-77-1476,WB22-37284,,,,,,,Na-,,,,True,due
P22-193988,Audrey,Smith,373-01-8785,2,51,1992-11-12 02:38:23,True,361-77-1476,WB22-37284,,,,,,,K+,,,,True,due
P22-193988,Audrey,Smith,373-01-8785,2,51,1992-11-12 02:38:23,True,361-77-1476,WB22-37284,,,,,,,Urea,,,,True,due
P22-193988,Audrey,Smith,373-01-8785,2,51,1992-11-12 02:38:23,True,361-77-1476,WB22-37284,,,,,,,Cl-,,,,True,due
P22-175920,Nicole,Smith,399-48-9576,2,22,1989-09-30 05:57:57,True,363-33-3680,DBS22-81792,,,,,,,EID,,,,True,due
