Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status
P22-31388,William,Dean,582-34-6837,1,9,1975-05-18 19:21:44,False,559-54-5073,WB22-10646,,,,,,,RBC,,,,True,due
P22-31388,William,Dean,582-34-6837,1,9,1975-05-18 19:21:44,False,559-54-5073,WB22-10646,,,,,,,HGB,,,,True,due
P22-31388,William,Dean,582-34-6837,1,9,1975-05-18 19:21:44,False,559-54-5073,WB22-10646,,,,,,,WBC,,,,True,due
P22-115410,Daniel,Arias,636-50-7880,2,62,1996-05-08 20:54:41,False,570-65-6553,DBS22-23460,,,,,,,EID,,,,True,due
P22-84790,Philip,Knapp,485-36-0017,3,31,1980-04-24 02:52:20,False,635-09-3058,BP22-10919,,,,,,,HIV,,,,True,due
P22-107094,Tiffany,Gonzalez,330-07-7009,1,17,1978-06-06 23:31:29,False,098-75-9654,DBS22-23473,,,,,,,EID,,,,True,due
P22-65834,Natalie,Hunter,759-13-4229,3,23,1975-06-07 21:52:56,False,780-04-2971,BP22-10940,,,,,,,Urea,,,,True,due
P22-65834,Natalie,Hunter,759-13-4229,3,23,1975-06-07 21:52:56,False,780-04-2971,BP22-10940,,,,,,,Cl-,,,,True,due
P22-65834,Natalie,Hunter,759-13-4229,3,23,1975-06-07 21:52:56,False,780-04-2971,BP22-10940,,,,,,,Creatinine,,,,True,due
P22-65834,Natalie,Hunter,759-13-4229,3,23,1975-06-07 21:52:56,False,780-04-2971,BP22-10940,,,,,,,Na-,,,,True,due
P22-65834,Natalie,Hunter,759-13-4229,3,23,1975-06-07 21:52:56,False,780-04-2971,BP22-10940,,,,,,,K+,,,,True,due
P22-96636,Valerie,Hopkins,032-20-6220,1,77,1986-10-05 09:37:56,True,615-93-0973,BP22-10987,,,,,,,HIV Viral Load,,,,True,due
P22-152660,Lindsey,Brown,264-57-6561,1,21,1989-10-11 20:03:43,False,007-15-8232,DBS22-23639,,,,,,,EID,,,,True,due
P22-15566,Bryan,Walker,088-01-5425,2,31,1992-06-06 13:10:18,True,167-28-7059,DBS22-23680,,,,,,,EID,,,,True,due
P22-05576,Jacob,Stewart,338-93-0123,3,38,1997-09-10 20:44:45,False,785-73-9112,WB22-10776,,,,,,,Urea,,,,True,due
P22-05576,Jacob,Stewart,338-93-0123,3,38,1997-09-10 20:44:45,False,785-73-9112,WB22-10776,,,,,,,Cl-,,,,True,due
P22-05576,Jacob,Stewart,338-93-0123,3,38,1997-09-10 20:44:45,False,785-73-9112,WB22-10776,,,,,,,Na-,,,,True,due
P22-05576,Jacob,Stewart,338-93-0123,3,38,1997-09-10 20:44:45,False,785-73-9112,WB22-10776,,,,,,,HIV Viral Load,,,,True,due
P22-05576,Jacob,Stewart,338-93-0123,3,38,1997-09-10 20:44:45,False,785-73-9112,WB22-10776,,,,,,,Creatinine,,,,True,due
P22-05576,Jacob,Stewart,338-93-0123,3,38,1997-09-10 20:44:45,False,785-73-9112,WB22-10776,,,,,,,K+,,,,True,due
P22-27313,Brandon,Young,487-66-9178,1,52,2013-07-22 13:59:20,False,029-84-2868,DBS22-23711,,,,,,,EID,,,,True,due
P22-166863,Jerry,Wood,156-31-4876,3,5,2020-10-14 17:19:48,False,853-80-9569,WB22-10802,,,,,,,Na-,,,,True,due
P22-166863,Jerry,Wood,156-31-4876,3,5,2020-10-14 17:19:48,False,853-80-9569,WB22-10802,,,,,,,Creatinine,,,,True,due
P22-166863,Jerry,Wood,156-31-4876,3,5,2020-10-14 17:19:48,False,853-80-9569,WB22-10802,,,,,,,Urea,,,,True,due
P22-166863,Jerry,Wood,156-31-4876,3,5,2020-10-14 17:19:48,False,853-80-9569,WB22-10802,,,,,,,K+,,,,True,due
P22-166863,Jerry,Wood,156-31-4876,3,5,2020-10-14 17:19:48,False,853-80-9569,WB22-10802,,,,,,,HIV Viral Load,,,,True,due
P22-166863,Jerry,Wood,156-31-4876,3,5,2020-10-14 17:19:48,False,853-80-9569,WB22-10802,,,,,,,Cl-,,,,True,due
P22-40290,Alicia,Horton,061-84-7923,2,66,1996-02-17 03:46:07,True,652-56-7673,BP22-11083,,,,,,,HIV Viral Load,,,,True,due
P22-163612,David,Cunningham,868-25-6915,2,25,1976-09-19 12:26:33,False,797-25-5402,DBS22-23857,,,,,,,EID,,,,True,due
