Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status
P22-21841,Heather,Bush,617-91-5603,3,61,2021-11-02 08:23:27,True,482-69-5579,DBS22-52265,,,,,,,EID,,,,True,due
P22-89772,Craig,Perkins,289-92-0777,2,38,1984-03-15 05:52:02,True,042-21-2479,BP22-24250,,,,,,,WBC,,,,True,due
P22-89772,Craig,Perkins,289-92-0777,2,38,1984-03-15 05:52:02,True,042-21-2479,BP22-24250,,,,,,,HIV,,,,True,due
P22-132751,Ryan,Mclaughlin,103-86-1512,1,29,2013-08-19 23:59:50,True,101-29-7187,DBS22-52273,,,,,,,EID,,,,True,due
P22-132830,Shane,Nelson,822-88-8007,1,41,1984-10-16 10:23:51,True,646-32-4255,BP22-24268,,,,,,,HIV,,,,True,due
P22-132830,Shane,Nelson,822-88-8007,1,41,1984-10-16 10:23:51,True,646-32-4255,BP22-24268,,,,,,,Na-,,,,True,due
P22-132830,Shane,Nelson,822-88-8007,1,41,1984-10-16 10:23:51,True,646-32-4255,BP22-24268,,,,,,,K+,,,,True,due
P22-132830,Shane,Nelson,822-88-8007,1,41,1984-10-16 10:23:51,True,646-32-4255,BP22-24268,,,,,,,Creatinine,,,,True,due
P22-132830,Shane,Nelson,822-88-8007,1,41,1984-10-16 10:23:51,True,646-32-4255,BP22-24268,,,,,,,Urea,,,,True,due
P22-132830,Shane,Nelson,822-88-8007,1,41,1984-10-16 10:23:51,True,646-32-4255,BP22-24268,,,,,,,Cl-,,,,True,due
P22-119673,Eddie,Moore,662-32-2270,1,64,2019-06-19 19:24:45,False,339-33-0605,DBS22-52331,,,,,,,EID,,,,True,due
P22-174967,Logan,Matthews,707-57-5448,2,89,2004-07-05 18:26:03,False,038-01-4990,DBS22-52375,,,,,,,EID,,,,True,due
P22-103565,Jamie,Norris,688-35-6098,3,54,2012-10-17 21:36:05,True,449-21-8069,WB22-23880,,,,,,,WBC,,,,True,due
P22-103565,Jamie,Norris,688-35-6098,3,54,2012-10-17 21:36:05,True,449-21-8069,WB22-23880,,,,,,,RBC,,,,True,due
P22-169496,Ann,Frye,469-59-9057,3,37,1995-05-18 02:39:54,False,618-04-8157,DBS22-52422,,,,,,,EID,,,,True,due
P22-103565,Jamie,Norris,688-35-6098,3,54,2012-10-17 21:36:05,True,449-21-8069,WB22-23880,,,,,,,EID,,,,True,due
P22-103565,Jamie,Norris,688-35-6098,3,54,2012-10-17 21:36:05,True,449-21-8069,WB22-23880,,,,,,,HGB,,,,True,due
P22-103565,Jamie,Norris,688-35-6098,3,54,2012-10-17 21:36:05,True,449-21-8069,BP22-24326,,,,,,,RBC,,,,True,due
P22-103565,Jamie,Norris,688-35-6098,3,54,2012-10-17 21:36:05,True,449-21-8069,BP22-24326,,,,,,,HIV Viral Load,,,,True,due
P22-103565,Jamie,Norris,688-35-6098,3,54,2012-10-17 21:36:05,True,449-21-8069,BP22-24326,,,,,,,WBC,,,,True,due
P22-103565,Jamie,Norris,688-35-6098,3,54,2012-10-17 21:36:05,True,449-21-8069,BP22-24326,,,,,,,HGB,,,,True,due
P22-206869,Kaylee,Miller,607-06-6157,3,74,1979-08-26 17:07:28,False,361-58-6108,DBS22-52446,,,,,,,EID,,,,True,due
P22-182300,Katherine,Myers,687-82-0646,3,26,1989-12-13 09:56:12,False,135-51-0355,BP22-24349,,,,,,,RBC,,,,True,due
P22-182300,Katherine,Myers,687-82-0646,3,26,1989-12-13 09:56:12,False,135-51-0355,BP22-24349,,,,,,,WBC,,,,True,due
P22-182300,Katherine,Myers,687-82-0646,3,26,1989-12-13 09:56:12,False,135-51-0355,BP22-24349,,,,,,,EID,,,,True,due
P22-182300,Katherine,Myers,687-82-0646,3,26,1989-12-13 09:56:12,False,135-51-0355,BP22-24349,,,,,,,HGB,,,,True,due
P22-75152,Jared,Hayes,122-87-1737,3,39,1975-07-15 07:28:59,False,883-58-9003,WB22-23916,,,,,,,RBC,,,,True,due
P22-75152,Jared,Hayes,122-87-1737,3,39,1975-07-15 07:28:59,False,883-58-9003,WB22-23916,,,,,,,WBC,,,,True,due
P22-75152,Jared,Hayes,122-87-1737,3,39,1975-07-15 07:28:59,False,883-58-9003,WB22-23916,,,,,,,HGB,,,,True,due
P22-180120,Wendy,Johnson,683-83-8282,2,56,2013-05-15 16:50:05,True,276-49-7552,BP22-24385,,,,,,,Urea,,,,True,due
P22-180120,Wendy,Johnson,683-83-8282,2,56,2013-05-15 16:50:05,True,276-49-7552,BP22-24385,,,,,,,Cl-,,,,True,due
P22-180120,Wendy,Johnson,683-83-8282,2,56,2013-05-15 16:50:05,True,276-49-7552,BP22-24385,,,,,,,Creatinine,,,,True,due
P22-180120,Wendy,Johnson,683-83-8282,2,56,2013-05-15 16:50:05,True,276-49-7552,BP22-24385,,,,,,,Na-,,,,True,due
P22-180120,Wendy,Johnson,683-83-8282,2,56,2013-05-15 16:50:05,True,276-49-7552,BP22-24385,,,,,,,K+,,,,True,due
P22-17196,Joyce,Weaver,553-47-1202,2,78,2020-12-30 05:05:29,False,615-33-1662,DBS22-52525,,,,,,,EID,,,,True,due
P22-72843,Bailey,Willis,437-49-6603,1,69,2011-03-14 22:00:17,True,469-64-8303,BP22-24406,,,,,,,Creatinine,,,,True,due
P22-72843,Bailey,Willis,437-49-6603,1,69,2011-03-14 22:00:17,True,469-64-8303,BP22-24406,,,,,,,HIV,,,,True,due
P22-72843,Bailey,Willis,437-49-6603,1,69,2011-03-14 22:00:17,True,469-64-8303,BP22-24406,,,,,,,K+,,,,True,due
P22-72843,Bailey,Willis,437-49-6603,1,69,2011-03-14 22:00:17,True,469-64-8303,BP22-24406,,,,,,,Urea,,,,True,due
P22-106301,Jennifer,Peterson,622-65-5501,3,32,2011-03-26 14:00:33,True,434-13-0062,DBS22-52552,,,,,,,EID,,,,True,due
P22-72843,Bailey,Willis,437-49-6603,1,69,2011-03-14 22:00:17,True,469-64-8303,BP22-24406,,,,,,,Cl-,,,,True,due
P22-72843,Bailey,Willis,437-49-6603,1,69,2011-03-14 22:00:17,True,469-64-8303,BP22-24406,,,,,,,Na-,,,,True,due
P22-86615,Michelle,Ball,112-67-0553,2,63,1983-06-15 08:35:02,True,422-54-5055,BP22-24414,,,,,,,Creatinine,,,,True,due
P22-86615,Michelle,Ball,112-67-0553,2,63,1983-06-15 08:35:02,True,422-54-5055,BP22-24414,,,,,,,EID,,,,True,due
P22-86615,Michelle,Ball,112-67-0553,2,63,1983-06-15 08:35:02,True,422-54-5055,BP22-24414,,,,,,,Na-,,,,True,due
P22-86615,Michelle,Ball,112-67-0553,2,63,1983-06-15 08:35:02,True,422-54-5055,BP22-24414,,,,,,,Cl-,,,,True,due
P22-86615,Michelle,Ball,112-67-0553,2,63,1983-06-15 08:35:02,True,422-54-5055,BP22-24414,,,,,,,K+,,,,True,due
P22-86615,Michelle,Ball,112-67-0553,2,63,1983-06-15 08:35:02,True,422-54-5055,BP22-24414,,,,,,,Urea,,,,True,due
P22-62860,Kevin,Stevens,476-30-9565,1,24,1999-05-02 16:27:04,False,067-80-0370,BP22-24424,,,,,,,HIV,,,,True,due
P22-59135,Laura,Pineda,335-74-8693,3,11,1998-05-18 07:53:24,False,584-97-9022,DBS22-52583,,,,,,,EID,,,,True,due
P22-78924,Colin,Henry,599-16-9355,2,85,2004-09-04 22:55:44,False,541-99-0888,DBS22-52600,,,,,,,EID,,,,True,due
