Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status
P22-89429,Robert,Hernandez,018-63-6165,3,23,2007-01-22 21:28:30,False,052-83-7603,DBS22-61622,,,,,,,EID,,,,True,due
P22-179762,Elizabeth,Wright,357-37-5637,3,81,1998-10-20 15:37:43,False,697-65-2617,BP22-28601,,,,,,,Creatinine,,,,True,due
P22-179762,Elizabeth,Wright,357-37-5637,3,81,1998-10-20 15:37:43,False,697-65-2617,BP22-28601,,,,,,,Na-,,,,True,due
P22-179762,Elizabeth,Wright,357-37-5637,3,81,1998-10-20 15:37:43,False,697-65-2617,BP22-28601,,,,,,,Cl-,,,,True,due
P22-179762,Elizabeth,Wright,357-37-5637,3,81,1998-10-20 15:37:43,False,697-65-2617,BP22-28601,,,,,,,K+,,,,True,due
P22-179762,Elizabeth,Wright,357-37-5637,3,81,1998-10-20 15:37:43,False,697-65-2617,BP22-28601,,,,,,,Urea,,,,True,due
P22-84597,Karen,Henderson,349-80-9724,3,45,2011-02-15 09:11:31,True,039-06-1084,WB22-28115,,,,,,,HIV Viral Load,,,,True,due
P22-46378,David,Oconnor,371-51-0494,3,72,1971-12-25 04:21:16,True,023-10-4288,DBS22-61699,,,,,,,EID,,,,True,due
P22-27317,Steven,Alvarado,814-32-2297,1,71,1974-04-25 09:56:57,True,655-51-1349,DBS22-61712,,,,,,,EID,,,,True,due
P22-121159,Eric,Williams,440-09-3390,2,65,1975-06-16 20:34:54,True,867-94-8603,DBS22-61725,,,,,,,EID,,,,True,due
P22-145208,Jacqueline,Wells,624-65-7470,3,90,2009-06-16 09:34:17,False,253-64-4630,DBS22-61789,,,,,,,EID,,,,True,due
P22-11914,Jesse,Williams,304-24-0473,2,37,1996-09-10 11:35:20,True,647-62-4404,WB22-28187,,,,,,,HGB,,,,True,due
P22-11914,Jesse,Williams,304-24-0473,2,37,1996-09-10 11:35:20,True,647-62-4404,WB22-28187,,,,,,,RBC,,,,True,due
P22-11914,Jesse,Williams,304-24-0473,2,37,1996-09-10 11:35:20,True,647-62-4404,WB22-28187,,,,,,,EID,,,,True,due
P22-11914,Jesse,Williams,304-24-0473,2,37,1996-09-10 11:35:20,True,647-62-4404,WB22-28187,,,,,,,WBC,,,,True,due
P22-53316,Elizabeth,Davidson,805-81-3536,3,47,2007-05-30 00:25:22,True,129-26-9879,BP22-28704,,,,,,,HIV,,,,True,due
P22-205926,Kelsey,Gilmore,126-71-3554,3,61,2007-06-08 06:18:41,False,237-48-2738,BP22-28712,,,,,,,Na-,,,,True,due
P22-205926,Kelsey,Gilmore,126-71-3554,3,61,2007-06-08 06:18:41,False,237-48-2738,BP22-28712,,,,,,,HIV,,,,True,due
P22-205926,Kelsey,Gilmore,126-71-3554,3,61,2007-06-08 06:18:41,False,237-48-2738,BP22-28712,,,,,,,Urea,,,,True,due
P22-205926,Kelsey,Gilmore,126-71-3554,3,61,2007-06-08 06:18:41,False,237-48-2738,BP22-28712,,,,,,,K+,,,,True,due
P22-205926,Kelsey,Gilmore,126-71-3554,3,61,2007-06-08 06:18:41,False,237-48-2738,BP22-28712,,,,,,,Cl-,,,,True,due
P22-205926,Kelsey,Gilmore,126-71-3554,3,61,2007-06-08 06:18:41,False,237-48-2738,BP22-28712,,,,,,,Creatinine,,,,True,due
P22-100334,Michael,Cervantes,190-76-6868,1,34,1998-06-20 03:24:44,True,024-87-1165,DBS22-61886,,,,,,,EID,,,,True,due
P22-75583,Arthur,Henry,808-25-1255,3,53,1996-08-13 16:34:45,False,302-18-8880,DBS22-61902,,,,,,,EID,,,,True,due
P22-09633,Kathryn,Nelson,486-40-3629,2,45,1979-10-18 23:05:42,True,204-78-7264,BP22-28741,,,,,,,EID,,,,True,due
P22-09633,Kathryn,Nelson,486-40-3629,2,45,1979-10-18 23:05:42,True,204-78-7264,BP22-28741,,,,,,,K+,,,,True,due
P22-09633,Kathryn,Nelson,486-40-3629,2,45,1979-10-18 23:05:42,True,204-78-7264,BP22-28741,,,,,,,Cl-,,,,True,due
P22-09633,Kathryn,Nelson,486-40-3629,2,45,1979-10-18 23:05:42,True,204-78-7264,BP22-28741,,,,,,,Creatinine,,,,True,due
P22-09633,Kathryn,Nelson,486-40-3629,2,45,1979-10-18 23:05:42,True,204-78-7264,BP22-28741,,,,,,,Na-,,,,True,due
P22-09633,Kathryn,Nelson,486-40-3629,2,45,1979-10-18 23:05:42,True,204-78-7264,BP22-28741,,,,,,,Urea,,,,True,due
P22-38131,Ivan,Williams,404-96-9493,2,13,1984-09-06 05:41:19,False,880-11-7791,WB22-28251,,,,,,,HIV Viral Load,,,,True,due
P22-96181,Andrew,Perez,745-41-5349,3,12,2021-12-04 22:56:10,True,104-82-9228,WB22-28285,,,,,,,EID,,,,True,due
P22-20494,Monica,Mclaughlin,057-50-8523,2,36,1989-10-29 03:36:57,True,293-35-4566,WB22-28286,,,,,,,HGB,,,,True,due
P22-20494,Monica,Mclaughlin,057-50-8523,2,36,1989-10-29 03:36:57,True,293-35-4566,WB22-28286,,,,,,,EID,,,,True,due
P22-20494,Monica,Mclaughlin,057-50-8523,2,36,1989-10-29 03:36:57,True,293-35-4566,WB22-28286,,,,,,,RBC,,,,True,due
P22-20494,Monica,Mclaughlin,057-50-8523,2,36,1989-10-29 03:36:57,True,293-35-4566,WB22-28286,,,,,,,WBC,,,,True,due
P22-152034,Amy,Miller,058-86-6906,3,78,1979-11-22 19:10:52,True,641-25-5141,DBS22-62082,,,,,,,EID,,,,True,due
P22-29496,Lisa,Pierce,069-97-2083,2,30,1987-10-03 19:29:20,True,442-69-2723,BP22-28833,,,,,,,HIV Viral Load,,,,True,due
P22-29496,Lisa,Pierce,069-97-2083,2,30,1987-10-03 19:29:20,True,442-69-2723,BP22-28833,,,,,,,RBC,,,,True,due
P22-29496,Lisa,Pierce,069-97-2083,2,30,1987-10-03 19:29:20,True,442-69-2723,BP22-28833,,,,,,,HGB,,,,True,due
P22-29496,Lisa,Pierce,069-97-2083,2,30,1987-10-03 19:29:20,True,442-69-2723,BP22-28833,,,,,,,WBC,,,,True,due
P22-82338,Gary,Moran,299-35-7473,3,86,2008-12-09 23:51:09,False,371-78-3024,DBS22-62161,,,,,,,EID,,,,True,due
P22-82338,Gary,Moran,299-35-7473,3,86,2008-12-09 23:51:09,False,371-78-3024,DBS22-62166,,,,,,,EID,,,,True,due
P22-91909,Katherine,Simpson,648-93-0380,3,40,2004-08-05 21:35:24,True,605-69-4361,DBS22-62184,,,,,,,EID,,,,True,due
P22-84001,Beverly,Freeman,767-05-9772,3,38,1987-12-07 03:25:39,True,868-90-6254,WB22-28374,,,,,,,Na-,,,,True,due
