Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status
P22-113956,Ian,Vasquez,453-61-3357,2,64,2012-06-25 01:15:24,True,262-16-2990,DBS22-40525,,,,,,,EID,,,,True,due
P22-106713,Ashley,Daniels,440-02-9858,1,28,2004-10-11 07:42:12,True,491-08-5769,DBS22-40719,,,,,,,EID,,,,True,due
P22-46568,Devin,Kelley,016-86-1486,2,33,2017-05-22 17:29:47,False,774-07-4110,WB22-18574,,,,,,,EID,,,,True,due
P22-149456,Timothy,Simmons,733-96-8365,2,37,2002-10-10 06:37:05,False,459-63-4084,DBS22-40773,,,,,,,EID,,,,True,due
P22-19379,Krystal,Ritter,791-50-4508,3,62,1994-09-07 18:26:48,False,752-40-9037,WB22-18659,,,,,,,Na-,,,,True,due
P22-19379,Krystal,Ritter,791-50-4508,3,62,1994-09-07 18:26:48,False,752-40-9037,WB22-18659,,,,,,,HIV Viral Load,,,,True,due
P22-19379,Krystal,Ritter,791-50-4508,3,62,1994-09-07 18:26:48,False,752-40-9037,WB22-18659,,,,,,,Cl-,,,,True,due
P22-19379,Krystal,Ritter,791-50-4508,3,62,1994-09-07 18:26:48,False,752-40-9037,WB22-18659,,,,,,,Urea,,,,True,due
P22-19379,Krystal,Ritter,791-50-4508,3,62,1994-09-07 18:26:48,False,752-40-9037,WB22-18659,,,,,,,Creatinine,,,,True,due
P22-19379,Krystal,Ritter,791-50-4508,3,62,1994-09-07 18:26:48,False,752-40-9037,WB22-18659,,,,,,,K+,,,,True,due
P22-165075,Jill,Browning,247-82-0690,2,83,2008-03-18 09:28:37,False,007-65-9588,WB22-18675,,,,,,,Cl-,,,,True,due
P22-165075,Jill,Browning,247-82-0690,2,83,2008-03-18 09:28:37,False,007-65-9588,WB22-18675,,,,,,,HIV Viral Load,,,,True,due
P22-165075,Jill,Browning,247-82-0690,2,83,2008-03-18 09:28:37,False,007-65-9588,WB22-18675,,,,,,,Urea,,,,True,due
P22-165075,Jill,Browning,247-82-0690,2,83,2008-03-18 09:28:37,False,007-65-9588,WB22-18675,,,,,,,Creatinine,,,,True,due
P22-165075,Jill,Browning,247-82-0690,2,83,2008-03-18 09:28:37,False,007-65-9588,WB22-18675,,,,,,,K+,,,,True,due
P22-165075,Jill,Browning,247-82-0690,2,83,2008-03-18 09:28:37,False,007-65-9588,WB22-18675,,,,,,,Na-,,,,True,due
P22-92311,Joshua,Miller,222-92-5854,1,2,1993-12-10 15:58:14,False,653-93-1788,DBS22-41062,,,,,,,EID,,,,True,due
P22-188065,Nancy,Rubio,202-98-5812,3,4,1993-01-10 19:42:24,False,524-83-4863,DBS22-41223,,,,,,,EID,,,,True,due
P22-116338,Jeremy,Huynh,333-22-7015,1,20,1999-04-20 12:21:13,False,279-70-0878,WB22-18830,,,,,,,Cl-,,,,True,due
P22-116338,Jeremy,Huynh,333-22-7015,1,20,1999-04-20 12:21:13,False,279-70-0878,WB22-18830,,,,,,,Urea,,,,True,due
P22-116338,Jeremy,Huynh,333-22-7015,1,20,1999-04-20 12:21:13,False,279-70-0878,WB22-18830,,,,,,,EID,,,,True,due
P22-116338,Jeremy,Huynh,333-22-7015,1,20,1999-04-20 12:21:13,False,279-70-0878,WB22-18830,,,,,,,Creatinine,,,,True,due
P22-116338,Jeremy,Huynh,333-22-7015,1,20,1999-04-20 12:21:13,False,279-70-0878,WB22-18830,,,,,,,Na-,,,,True,due
P22-116338,Jeremy,Huynh,333-22-7015,1,20,1999-04-20 12:21:13,False,279-70-0878,WB22-18830,,,,,,,K+,,,,True,due
P22-162599,Grant,Clayton,644-81-5544,1,70,1988-10-01 01:46:02,True,830-41-9267,DBS22-41518,,,,,,,EID,,,,True,due
P22-162599,Grant,Clayton,644-81-5544,1,70,1988-10-01 01:46:02,True,830-41-9267,BP22-19252,,,,,,,HGB,,,,True,due
P22-162599,Grant,Clayton,644-81-5544,1,70,1988-10-01 01:46:02,True,830-41-9267,BP22-19252,,,,,,,WBC,,,,True,due
P22-162599,Grant,Clayton,644-81-5544,1,70,1988-10-01 01:46:02,True,830-41-9267,BP22-19252,,,,,,,HIV Viral Load,,,,True,due
P22-162599,Grant,Clayton,644-81-5544,1,70,1988-10-01 01:46:02,True,830-41-9267,BP22-19252,,,,,,,RBC,,,,True,due
P22-57259,Lisa,Townsend,565-94-9232,1,27,1985-06-19 02:36:32,False,287-19-9470,BP22-19403,,,,,,,HIV Viral Load,,,,True,due
P22-57259,Lisa,Townsend,565-94-9232,1,27,1985-06-19 02:36:32,False,287-19-9470,BP22-19403,,,,,,,WBC,,,,True,due
P22-57259,Lisa,Townsend,565-94-9232,1,27,1985-06-19 02:36:32,False,287-19-9470,BP22-19403,,,,,,,RBC,,,,True,due
P22-57259,Lisa,Townsend,565-94-9232,1,27,1985-06-19 02:36:32,False,287-19-9470,BP22-19403,,,,,,,HGB,,,,True,due
P22-148733,Joseph,Bradley,122-85-4926,3,69,2003-09-23 01:01:42,True,438-70-4367,WB22-19111,,,,,,,RBC,,,,True,due
P22-148733,Joseph,Bradley,122-85-4926,3,69,2003-09-23 01:01:42,True,438-70-4367,WB22-19111,,,,,,,EID,,,,True,due
P22-148733,Joseph,Bradley,122-85-4926,3,69,2003-09-23 01:01:42,True,438-70-4367,WB22-19111,,,,,,,WBC,,,,True,due
P22-148733,Joseph,Bradley,122-85-4926,3,69,2003-09-23 01:01:42,True,438-70-4367,WB22-19111,,,,,,,HGB,,,,True,due
P22-147793,Andrew,Padilla,560-63-9362,1,70,1973-12-19 01:54:17,True,618-89-1945,BP22-19559,,,,,,,EID,,,,True,due
P22-171147,Sarah,Foster,428-18-8275,2,34,1992-06-01 22:04:53,False,078-36-8608,WB22-19244,,,,,,,HIV Viral Load,,,,True,due
P22-143639,Theresa,Stephens,065-71-9995,3,67,1972-12-13 13:48:56,False,316-10-0133,BP22-19591,,,,,,,Cl-,,,,True,due
P22-143639,Theresa,Stephens,065-71-9995,3,67,1972-12-13 13:48:56,False,316-10-0133,BP22-19591,,,,,,,Creatinine,,,,True,due
P22-143639,Theresa,Stephens,065-71-9995,3,67,1972-12-13 13:48:56,False,316-10-0133,BP22-19591,,,,,,,EID,,,,True,due
P22-143639,Theresa,Stephens,065-71-9995,3,67,1972-12-13 13:48:56,False,316-10-0133,BP22-19591,,,,,,,K+,,,,True,due
P22-143639,Theresa,Stephens,065-71-9995,3,67,1972-12-13 13:48:56,False,316-10-0133,BP22-19591,,,,,,,Urea,,,,True,due
P22-143639,Theresa,Stephens,065-71-9995,3,67,1972-12-13 13:48:56,False,316-10-0133,BP22-19591,,,,,,,Na-,,,,True,due
P22-129746,Lisa,Hayes,621-66-0321,1,17,2019-06-18 10:03:53,True,892-63-9651,DBS22-42345,,,,,,,EID,,,,True,due
P22-45048,Natalie,Le,499-12-7936,3,62,2010-05-10 03:28:19,False,355-03-1441,DBS22-42460,,,,,,,EID,,,,True,due
P22-164855,Mark,Noble,012-60-2669,1,49,2007-12-12 07:28:05,False,799-20-8954,DBS22-42506,,,,,,,EID,,,,True,due
P22-202891,Cheryl,Ramirez,486-89-7039,1,61,1972-10-25 20:29:22,False,177-26-6159,WB22-19897,,,,,,,EID,,,,True,due
P22-202891,Cheryl,Ramirez,486-89-7039,1,61,1972-10-25 20:29:22,False,177-26-6159,WB22-19897,,,,,,,Creatinine,,,,True,due
P22-202891,Cheryl,Ramirez,486-89-7039,1,61,1972-10-25 20:29:22,False,177-26-6159,WB22-19897,,,,,,,K+,,,,True,due
P22-147434,Kimberly,Salinas,345-58-7868,1,55,1976-07-08 03:24:59,True,300-22-1936,DBS22-43674,,,,,,,EID,,,,True,due
P22-54251,Lisa,Woods,490-12-5298,1,5,1971-07-21 07:20:38,False,588-39-2773,BP22-20244,,,,,,,Urea,,,,True,due
P22-54251,Lisa,Woods,490-12-5298,1,5,1971-07-21 07:20:38,False,588-39-2773,BP22-20244,,,,,,,Cl-,,,,True,due
P22-54251,Lisa,Woods,490-12-5298,1,5,1971-07-21 07:20:38,False,588-39-2773,BP22-20244,,,,,,,Na-,,,,True,due
P22-54251,Lisa,Woods,490-12-5298,1,5,1971-07-21 07:20:38,False,588-39-2773,BP22-20244,,,,,,,K+,,,,True,due
P22-54251,Lisa,Woods,490-12-5298,1,5,1971-07-21 07:20:38,False,588-39-2773,BP22-20244,,,,,,,Creatinine,,,,True,due
P22-54251,Lisa,Woods,490-12-5298,1,5,1971-07-21 07:20:38,False,588-39-2773,DBS22-43688,,,,,,,EID,,,,True,due
P22-83164,Carol,Montoya,416-08-6901,1,71,2009-03-08 19:36:48,False,374-25-8184,WB22-19956,,,,,,,K+,,,,True,due
P22-83164,Carol,Montoya,416-08-6901,1,71,2009-03-08 19:36:48,False,374-25-8184,WB22-19956,,,,,,,HIV Viral Load,,,,True,due
P22-83164,Carol,Montoya,416-08-6901,1,71,2009-03-08 19:36:48,False,374-25-8184,WB22-19956,,,,,,,Na-,,,,True,due
P22-83164,Carol,Montoya,416-08-6901,1,71,2009-03-08 19:36:48,False,374-25-8184,WB22-19956,,,,,,,Creatinine,,,,True,due
P22-83164,Carol,Montoya,416-08-6901,1,71,2009-03-08 19:36:48,False,374-25-8184,WB22-19956,,,,,,,Urea,,,,True,due
