Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status
P22-107247,Brandon,Salazar,224-66-4929,3,62,1999-07-12 03:19:52,False,180-33-6360,BP22-32662,,,,,,,Urea,,,,True,due
P22-107247,Brandon,Salazar,224-66-4929,3,62,1999-07-12 03:19:52,False,180-33-6360,BP22-32662,,,,,,,Creatinine,,,,True,due
P22-107247,Brandon,Salazar,224-66-4929,3,62,1999-07-12 03:19:52,False,180-33-6360,BP22-32662,,,,,,,Cl-,,,,True,due
P22-107247,Brandon,Salazar,224-66-4929,3,62,1999-07-12 03:19:52,False,180-33-6360,BP22-32662,,,,,,,EID,,,,True,due
P22-107247,Brandon,Salazar,224-66-4929,3,62,1999-07-12 03:19:52,False,180-33-6360,BP22-32662,,,,,,,K+,,,,True,due
P22-107247,Brandon,Salazar,224-66-4929,3,62,1999-07-12 03:19:52,False,180-33-6360,BP22-32662,,,,,,,Na-,,,,True,due
P22-71522,Anthony,Morgan,280-86-6763,1,83,1974-05-20 13:04:36,False,250-16-3415,DBS22-70766,,,,,,,EID,,,,True,due
P22-194293,Jessica,Patterson,388-40-9064,3,30,2022-01-10 20:53:16,True,239-48-2819,WB22-32207,,,,,,,Creatinine,,,,True,due
P22-194293,Jessica,Patterson,388-40-9064,3,30,2022-01-10 20:53:16,True,239-48-2819,WB22-32207,,,,,,,Na-,,,,True,due
P22-194293,Jessica,Patterson,388-40-9064,3,30,2022-01-10 20:53:16,True,239-48-2819,WB22-32207,,,,,,,Cl-,,,,True,due
P22-194293,Jessica,Patterson,388-40-9064,3,30,2022-01-10 20:53:16,True,239-48-2819,WB22-32207,,,,,,,HIV Viral Load,,,,True,due
P22-194293,Jessica,Patterson,388-40-9064,3,30,2022-01-10 20:53:16,True,239-48-2819,WB22-32207,,,,,,,K+,,,,True,due
P22-194293,Jessica,Patterson,388-40-9064,3,30,2022-01-10 20:53:16,True,239-48-2819,WB22-32207,,,,,,,Urea,,,,True,due
