Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status
P22-137492,Jacob,Bentley,488-68-5270,1,53,2016-02-28 01:32:26,True,032-48-0311,DBS22-75601,,,,,,,EID,,,,True,due
P22-107060,Kevin,Wheeler,610-87-3045,1,88,1983-09-08 16:48:13,True,075-90-6072,WB22-34435,,,,,,,Cl-,,,,True,due
P22-107060,Kevin,Wheeler,610-87-3045,1,88,1983-09-08 16:48:13,True,075-90-6072,WB22-34435,,,,,,,Na-,,,,True,due
P22-107060,Kevin,Wheeler,610-87-3045,1,88,1983-09-08 16:48:13,True,075-90-6072,WB22-34435,,,,,,,Urea,,,,True,due
P22-107060,Kevin,Wheeler,610-87-3045,1,88,1983-09-08 16:48:13,True,075-90-6072,WB22-34435,,,,,,,Creatinine,,,,True,due
P22-107060,Kevin,Wheeler,610-87-3045,1,88,1983-09-08 16:48:13,True,075-90-6072,WB22-34435,,,,,,,HIV Viral Load,,,,True,due
P22-107060,Kevin,Wheeler,610-87-3045,1,88,1983-09-08 16:48:13,True,075-90-6072,WB22-34435,,,,,,,K+,,,,True,due
P22-179939,Elizabeth,Taylor,156-97-1230,2,27,2017-06-22 01:59:40,True,519-53-8894,DBS22-75713,,,,,,,EID,,,,True,due
P22-52492,Jasmine,Fields,636-19-4240,1,14,1999-07-17 15:53:24,False,388-02-0441,DBS22-75749,,,,,,,EID,,,,True,due
P22-172878,Michael,Sutton,285-57-6400,3,31,2004-08-13 22:06:40,True,891-03-2576,DBS22-75774,,,,,,,EID,,,,True,due
P22-68996,Timothy,Navarro,261-51-6949,2,56,2019-01-25 10:07:15,True,586-79-9875,DBS22-75791,,,,,,,EID,,,,True,due
P22-25247,Matthew,Jones,789-07-9735,3,17,2018-06-02 14:54:45,True,698-63-8505,WB22-34475,,,,,,,HIV Viral Load,,,,True,due
P22-25594,Matthew,Jenkins,511-07-0167,3,63,2019-02-09 16:30:37,True,255-63-8864,DBS22-75810,,,,,,,EID,,,,True,due
P22-144910,Nathan,Dunlap,052-40-8432,2,51,1973-10-03 07:14:43,False,478-82-2156,BP22-35004,,,,,,,HGB,,,,True,due
P22-144910,Nathan,Dunlap,052-40-8432,2,51,1973-10-03 07:14:43,False,478-82-2156,BP22-35004,,,,,,,WBC,,,,True,due
P22-144910,Nathan,Dunlap,052-40-8432,2,51,1973-10-03 07:14:43,False,478-82-2156,BP22-35004,,,,,,,RBC,,,,True,due
P22-06267,Cynthia,Rocha,795-88-6704,2,37,1998-10-09 13:39:05,True,826-63-7432,DBS22-75951,,,,,,,EID,,,,True,due
P22-55264,Sara,Smith,494-23-7452,2,15,1977-05-26 22:30:32,True,165-56-0618,BP22-35037,,,,,,,WBC,,,,True,due
P22-55264,Sara,Smith,494-23-7452,2,15,1977-05-26 22:30:32,True,165-56-0618,BP22-35037,,,,,,,HGB,,,,True,due
P22-55264,Sara,Smith,494-23-7452,2,15,1977-05-26 22:30:32,True,165-56-0618,BP22-35037,,,,,,,RBC,,,,True,due
P22-80217,Luis,Marks,478-39-2182,2,20,1978-05-03 21:10:10,False,589-53-1426,BP22-35080,,,,,,,HIV,,,,True,due
P22-80217,Luis,Marks,478-39-2182,2,20,1978-05-03 21:10:10,False,589-53-1426,BP22-35080,,,,,,,WBC,,,,True,due
P22-80217,Luis,Marks,478-39-2182,2,20,1978-05-03 21:10:10,False,589-53-1426,BP22-35080,,,,,,,RBC,,,,True,due
P22-80217,Luis,Marks,478-39-2182,2,20,1978-05-03 21:10:10,False,589-53-1426,BP22-35080,,,,,,,HGB,,,,True,due
P22-25095,Kyle,Thomas,704-20-4568,2,70,2013-05-18 16:52:31,True,881-85-7048,DBS22-76171,,,,,,,EID,,,,True,due
P22-45206,Alexandria,Schwartz,376-30-0781,1,36,1985-10-07 17:20:12,False,296-92-0150,BP22-35159,,,,,,,Urea,,,,True,due
P22-45206,Alexandria,Schwartz,376-30-0781,1,36,1985-10-07 17:20:12,False,296-92-0150,BP22-35159,,,,,,,EID,,,,True,due
P22-45206,Alexandria,Schwartz,376-30-0781,1,36,1985-10-07 17:20:12,False,296-92-0150,BP22-35159,,,,,,,K+,,,,True,due
P22-45206,Alexandria,Schwartz,376-30-0781,1,36,1985-10-07 17:20:12,False,296-92-0150,BP22-35159,,,,,,,Na-,,,,True,due
P22-45206,Alexandria,Schwartz,376-30-0781,1,36,1985-10-07 17:20:12,False,296-92-0150,BP22-35159,,,,,,,Cl-,,,,True,due
P22-45206,Alexandria,Schwartz,376-30-0781,1,36,1985-10-07 17:20:12,False,296-92-0150,BP22-35159,,,,,,,Creatinine,,,,True,due
P22-22373,Anna,Hart,217-78-9193,1,76,2011-02-10 00:44:02,False,330-63-4216,BP22-35178,,,,,,,HIV,,,,True,due
P22-95721,Chad,Smith,827-68-4636,2,53,1980-08-09 11:22:17,True,210-18-3616,DBS22-76282,,,,,,,EID,,,,True,due
P22-109452,Jamie,Diaz,044-60-9234,3,65,1979-08-06 14:21:22,False,268-06-1226,DBS22-76314,,,,,,,EID,,,,True,due
P22-149386,Maria,Hunt,433-47-6405,2,63,1977-09-01 16:57:26,True,380-08-0825,BP22-35221,,,,,,,EID,,,,True,due
P22-91987,Jonathan,Miller,143-27-1572,3,48,1994-06-29 08:02:05,True,029-95-1118,BP22-35241,,,,,,,EID,,,,True,due
P22-64650,Yesenia,Martin,263-38-6364,3,31,2016-01-28 02:54:10,False,796-32-1090,WB22-34794,,,,,,,Na-,,,,True,due
P22-64650,Yesenia,Martin,263-38-6364,3,31,2016-01-28 02:54:10,False,796-32-1090,WB22-34794,,,,,,,K+,,,,True,due
P22-64650,Yesenia,Martin,263-38-6364,3,31,2016-01-28 02:54:10,False,796-32-1090,WB22-34794,,,,,,,Urea,,,,True,due
P22-64650,Yesenia,Martin,263-38-6364,3,31,2016-01-28 02:54:10,False,796-32-1090,WB22-34794,,,,,,,Creatinine,,,,True,due
P22-64650,Yesenia,Martin,263-38-6364,3,31,2016-01-28 02:54:10,False,796-32-1090,WB22-34794,,,,,,,Cl-,,,,True,due
P22-64650,Yesenia,Martin,263-38-6364,3,31,2016-01-28 02:54:10,False,796-32-1090,WB22-34794,,,,,,,HIV Viral Load,,,,True,due
P22-187169,Antonio,Bowman,505-29-4005,1,33,1980-04-25 10:41:55,True,224-67-7119,BP22-35329,,,,,,,HIV Viral Load,,,,True,due
P22-134173,Laurie,Mccoy,636-24-4357,1,86,2002-10-19 08:17:26,True,767-22-8575,BP22-35376,,,,,,,Urea,,,,True,due
P22-134173,Laurie,Mccoy,636-24-4357,1,86,2002-10-19 08:17:26,True,767-22-8575,BP22-35376,,,,,,,K+,,,,True,due
P22-134173,Laurie,Mccoy,636-24-4357,1,86,2002-10-19 08:17:26,True,767-22-8575,BP22-35376,,,,,,,EID,,,,True,due
P22-134173,Laurie,Mccoy,636-24-4357,1,86,2002-10-19 08:17:26,True,767-22-8575,BP22-35376,,,,,,,Creatinine,,,,True,due
P22-134173,Laurie,Mccoy,636-24-4357,1,86,2002-10-19 08:17:26,True,767-22-8575,BP22-35376,,,,,,,Cl-,,,,True,due
P22-134173,Laurie,Mccoy,636-24-4357,1,86,2002-10-19 08:17:26,True,767-22-8575,BP22-35376,,,,,,,Na-,,,,True,due
P22-63375,James,Price,247-42-6037,3,89,1980-03-26 13:30:47,False,092-86-8427,BP22-35425,,,,,,,HIV Viral Load,,,,True,due
P22-29467,Brittany,Brown,586-94-7315,3,48,1978-11-26 15:55:53,False,367-41-8395,DBS22-76803,,,,,,,EID,,,,True,due
P22-136453,Donna,Logan,446-68-6697,2,22,1972-02-09 09:37:21,False,884-12-9117,DBS22-76817,,,,,,,EID,,,,True,due
P22-161129,Catherine,Jones,753-40-1618,2,85,1976-07-23 11:48:46,False,852-94-2510,DBS22-76832,,,,,,,EID,,,,True,due
P22-89608,Christine,Fernandez,774-08-4384,1,14,2005-01-15 14:03:38,False,865-20-0109,WB22-34970,,,,,,,WBC,,,,True,due
P22-89608,Christine,Fernandez,774-08-4384,1,14,2005-01-15 14:03:38,False,865-20-0109,WB22-34970,,,,,,,RBC,,,,True,due
