Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status
P22-196271,Lauren,Tate,771-49-6391,1,18,2002-09-28 14:28:47,True,415-22-2990,DBS22-37233,,,,,,,EID,,,,True,due
P22-203075,Hannah,Smith,292-17-8114,2,15,2000-01-30 03:15:07,True,629-89-9753,BP22-17287,,,,,,,HIV Viral Load,,,,True,due
P22-142999,Paige,Rogers,063-26-8837,2,17,2006-12-01 04:03:09,True,280-62-4321,WB22-17021,,,,,,,Creatinine,,,,True,due
P22-142999,Paige,Rogers,063-26-8837,2,17,2006-12-01 04:03:09,True,280-62-4321,WB22-17021,,,,,,,Cl-,,,,True,due
P22-142999,Paige,Rogers,063-26-8837,2,17,2006-12-01 04:03:09,True,280-62-4321,WB22-17021,,,,,,,Urea,,,,True,due
P22-142999,Paige,Rogers,063-26-8837,2,17,2006-12-01 04:03:09,True,280-62-4321,WB22-17021,,,,,,,K+,,,,True,due
P22-142999,Paige,Rogers,063-26-8837,2,17,2006-12-01 04:03:09,True,280-62-4321,WB22-17021,,,,,,,Na-,,,,True,due
P22-142999,Paige,Rogers,063-26-8837,2,17,2006-12-01 04:03:09,True,280-62-4321,WB22-17021,,,,,,,HIV,,,,True,due
P22-51579,Chad,West,020-81-4715,1,58,2017-11-15 22:40:47,True,652-63-9987,DBS22-37337,,,,,,,EID,,,,True,due
P22-179799,Deborah,Ewing,263-07-7849,3,56,2007-06-25 22:32:21,True,277-75-1539,DBS22-37343,,,,,,,EID,,,,True,due
P22-04325,Robert,Thompson,361-56-6140,1,63,1984-12-03 01:33:07,False,289-98-4653,BP22-17373,,,,,,,Creatinine,,,,True,due
P22-04325,Robert,Thompson,361-56-6140,1,63,1984-12-03 01:33:07,False,289-98-4653,BP22-17373,,,,,,,HIV,,,,True,due
P22-04325,Robert,Thompson,361-56-6140,1,63,1984-12-03 01:33:07,False,289-98-4653,BP22-17373,,,,,,,K+,,,,True,due
P22-04325,Robert,Thompson,361-56-6140,1,63,1984-12-03 01:33:07,False,289-98-4653,BP22-17373,,,,,,,Urea,,,,True,due
