Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status
P22-90105,Jim,Lara,004-03-5099,1,27,2020-05-17 23:12:11,True,038-04-9687,WB22-23324,,,,,,,HGB,,,,True,due
P22-90105,Jim,Lara,004-03-5099,1,27,2020-05-17 23:12:11,True,038-04-9687,WB22-23324,,,,,,,WBC,,,,True,due
P22-90105,Jim,Lara,004-03-5099,1,27,2020-05-17 23:12:11,True,038-04-9687,WB22-23324,,,,,,,HIV Viral Load,,,,True,due
P22-90105,Jim,Lara,004-03-5099,1,27,2020-05-17 23:12:11,True,038-04-9687,WB22-23324,,,,,,,RBC,,,,True,due
P22-99590,Melissa,Lewis,366-08-8826,2,59,1983-01-18 10:38:42,True,652-85-7904,BP22-23782,,,,,,,EID,,,,True,due
P22-24190,Larry,Bell,536-65-5463,1,6,2017-11-02 08:34:32,True,121-92-4190,DBS22-51255,,,,,,,EID,,,,True,due
P22-151157,Donna,Porter,434-64-7656,2,31,2019-10-19 12:22:47,True,050-23-9640,DBS22-51285,,,,,,,EID,,,,True,due
P22-51353,Justin,Jones,257-93-2441,2,21,2004-10-01 09:41:37,False,145-74-5463,DBS22-51292,,,,,,,EID,,,,True,due
P22-36757,Justin,Cook,483-73-4533,3,79,1975-07-29 00:14:41,True,759-04-6262,DBS22-51372,,,,,,,EID,,,,True,due
P22-44423,Scott,Smith,657-79-7277,3,21,1993-09-08 18:07:15,False,516-88-6829,BP22-23837,,,,,,,HIV Viral Load,,,,True,due
P22-44423,Scott,Smith,657-79-7277,3,21,1993-09-08 18:07:15,False,516-88-6829,WB22-23424,,,,,,,HGB,,,,True,due
P22-44423,Scott,Smith,657-79-7277,3,21,1993-09-08 18:07:15,False,516-88-6829,WB22-23424,,,,,,,WBC,,,,True,due
P22-44423,Scott,Smith,657-79-7277,3,21,1993-09-08 18:07:15,False,516-88-6829,WB22-23424,,,,,,,RBC,,,,True,due
P22-44423,Scott,Smith,657-79-7277,3,21,1993-09-08 18:07:15,False,516-88-6829,WB22-23424,,,,,,,HIV Viral Load,,,,True,due
P22-127388,Linda,Richardson,265-02-7202,1,77,1979-03-14 22:34:38,False,486-56-2064,DBS22-51401,,,,,,,EID,,,,True,due
P22-199484,Taylor,Anderson,075-64-6356,2,34,2021-08-13 08:14:53,False,469-38-3908,DBS22-51466,,,,,,,EID,,,,True,due
P22-61037,Sara,Smith,746-99-4864,1,57,1991-10-08 14:28:52,True,660-77-1863,DBS22-51548,,,,,,,EID,,,,True,due
P22-190704,Gerald,Drake,765-21-8277,2,39,2019-09-14 23:24:15,True,426-50-6352,BP22-23933,,,,,,,Na-,,,,True,due
P22-190704,Gerald,Drake,765-21-8277,2,39,2019-09-14 23:24:15,True,426-50-6352,BP22-23933,,,,,,,Urea,,,,True,due
P22-190704,Gerald,Drake,765-21-8277,2,39,2019-09-14 23:24:15,True,426-50-6352,BP22-23933,,,,,,,Creatinine,,,,True,due
P22-190704,Gerald,Drake,765-21-8277,2,39,2019-09-14 23:24:15,True,426-50-6352,BP22-23933,,,,,,,HIV,,,,True,due
P22-190704,Gerald,Drake,765-21-8277,2,39,2019-09-14 23:24:15,True,426-50-6352,BP22-23933,,,,,,,K+,,,,True,due
P22-190704,Gerald,Drake,765-21-8277,2,39,2019-09-14 23:24:15,True,426-50-6352,BP22-23933,,,,,,,Cl-,,,,True,due
P22-48766,Theresa,Huff,763-73-0474,1,14,2000-03-05 01:48:55,False,720-08-8488,DBS22-51581,,,,,,,EID,,,,True,due
P22-51527,Monica,Hansen,628-28-5781,1,15,2007-02-21 00:54:16,True,053-72-1551,DBS22-51598,,,,,,,EID,,,,True,due
P22-108845,Jeremy,Powell,826-49-7699,2,36,1992-08-19 17:53:55,False,815-85-2128,BP22-24018,,,,,,,HIV Viral Load,,,,True,due
P22-70898,Rebecca,Hendricks,608-94-0537,3,58,2019-07-19 03:41:49,False,046-73-0737,BP22-24069,,,,,,,Na-,,,,True,due
P22-70898,Rebecca,Hendricks,608-94-0537,3,58,2019-07-19 03:41:49,False,046-73-0737,BP22-24069,,,,,,,K+,,,,True,due
P22-70898,Rebecca,Hendricks,608-94-0537,3,58,2019-07-19 03:41:49,False,046-73-0737,BP22-24069,,,,,,,EID,,,,True,due
P22-70898,Rebecca,Hendricks,608-94-0537,3,58,2019-07-19 03:41:49,False,046-73-0737,BP22-24069,,,,,,,Cl-,,,,True,due
P22-70898,Rebecca,Hendricks,608-94-0537,3,58,2019-07-19 03:41:49,False,046-73-0737,BP22-24069,,,,,,,Urea,,,,True,due
P22-70898,Rebecca,Hendricks,608-94-0537,3,58,2019-07-19 03:41:49,False,046-73-0737,BP22-24069,,,,,,,Creatinine,,,,True,due
P22-184701,Laura,Jenkins,831-88-7281,1,55,1977-04-03 00:21:07,False,376-51-2784,DBS22-51887,,,,,,,EID,,,,True,due
P22-56334,John,Ross,686-47-7980,2,65,2011-05-02 16:32:51,False,843-34-4858,DBS22-51932,,,,,,,EID,,,,True,due
P22-131471,William,Scott,276-80-5455,3,77,1974-05-26 06:12:21,True,402-15-3489,DBS22-51998,,,,,,,EID,,,,True,due
P22-90001,Adam,Fisher,353-13-6834,1,8,1995-04-24 20:17:26,True,842-65-3510,WB22-23763,,,,,,,HGB,,,,True,due
P22-90001,Adam,Fisher,353-13-6834,1,8,1995-04-24 20:17:26,True,842-65-3510,WB22-23763,,,,,,,WBC,,,,True,due
P22-90001,Adam,Fisher,353-13-6834,1,8,1995-04-24 20:17:26,True,842-65-3510,WB22-23763,,,,,,,RBC,,,,True,due
P22-90001,Adam,Fisher,353-13-6834,1,8,1995-04-24 20:17:26,True,842-65-3510,WB22-23763,,,,,,,HIV,,,,True,due
P22-116139,Christopher,Becker,184-05-2672,3,54,2021-09-09 13:09:26,False,390-36-6625,DBS22-52169,,,,,,,EID,,,,True,due
P22-19771,Jimmy,Patel,696-59-1507,1,83,2001-03-27 04:03:31,True,558-42-7399,WB22-23843,,,,,,,K+,,,,True,due
P22-19771,Jimmy,Patel,696-59-1507,1,83,2001-03-27 04:03:31,True,558-42-7399,WB22-23843,,,,,,,Cl-,,,,True,due
P22-19771,Jimmy,Patel,696-59-1507,1,83,2001-03-27 04:03:31,True,558-42-7399,WB22-23843,,,,,,,Na-,,,,True,due
P22-19771,Jimmy,Patel,696-59-1507,1,83,2001-03-27 04:03:31,True,558-42-7399,WB22-23843,,,,,,,Creatinine,,,,True,due
P22-19771,Jimmy,Patel,696-59-1507,1,83,2001-03-27 04:03:31,True,558-42-7399,WB22-23843,,,,,,,Urea,,,,True,due
P22-35613,Brooke,Franco,105-99-0993,2,48,2021-10-05 02:40:37,False,220-40-4466,BP22-24354,,,,,,,WBC,,,,True,due
