Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status
P22-200266,Zachary,Singh,422-90-7791,2,78,1994-08-06 07:01:28,True,213-48-6232,DBS22-67622,,,,,,,EID,,,,True,due
P22-145839,Carol,Hampton,254-87-0081,3,17,1980-04-01 06:37:32,False,658-35-5841,BP22-31379,,,,,,,Na-,,,,True,due
P22-145839,Carol,Hampton,254-87-0081,3,17,1980-04-01 06:37:32,False,658-35-5841,BP22-31379,,,,,,,HIV Viral Load,,,,True,due
P22-145839,Carol,Hampton,254-87-0081,3,17,1980-04-01 06:37:32,False,658-35-5841,BP22-31379,,,,,,,Creatinine,,,,True,due
P22-145839,Carol,Hampton,254-87-0081,3,17,1980-04-01 06:37:32,False,658-35-5841,BP22-31379,,,,,,,K+,,,,True,due
P22-145839,Carol,Hampton,254-87-0081,3,17,1980-04-01 06:37:32,False,658-35-5841,BP22-31379,,,,,,,Cl-,,,,True,due
P22-145839,Carol,Hampton,254-87-0081,3,17,1980-04-01 06:37:32,False,658-35-5841,BP22-31379,,,,,,,Urea,,,,True,due
P22-44331,Jesse,Aguilar,788-61-5808,3,60,1996-11-06 11:56:32,True,715-52-2639,BP22-31449,,,,,,,HIV Viral Load,,,,True,due
P22-39423,Gary,Hall,107-79-0005,2,7,1992-07-09 17:20:01,False,607-73-1795,BP22-31457,,,,,,,EID,,,,True,due
P22-39423,Gary,Hall,107-79-0005,2,7,1992-07-09 17:20:01,False,607-73-1795,BP22-31457,,,,,,,HGB,,,,True,due
P22-39423,Gary,Hall,107-79-0005,2,7,1992-07-09 17:20:01,False,607-73-1795,BP22-31457,,,,,,,WBC,,,,True,due
P22-39423,Gary,Hall,107-79-0005,2,7,1992-07-09 17:20:01,False,607-73-1795,BP22-31457,,,,,,,RBC,,,,True,due
P22-79363,Alex,Rice,055-49-0398,1,55,1988-11-08 03:03:55,False,332-06-1060,DBS22-68249,,,,,,,EID,,,,True,due
P22-55501,Margaret,Moore,004-98-3477,1,66,2006-10-23 16:14:45,True,183-67-0678,DBS22-68344,,,,,,,EID,,,,True,due
P22-18198,Zachary,Mullen,198-13-1605,2,45,1997-07-06 17:49:34,False,239-21-6032,DBS22-80739,,,,,,,EID,,,,True,due
P22-209268,Cynthia,Rasmussen,400-57-5822,1,19,2006-07-02 10:54:19,True,886-99-6354,WB22-36855,,,,,,,Na-,,,,True,due
P22-209268,Cynthia,Rasmussen,400-57-5822,1,19,2006-07-02 10:54:19,True,886-99-6354,WB22-36855,,,,,,,Creatinine,,,,True,due
P22-209268,Cynthia,Rasmussen,400-57-5822,1,19,2006-07-02 10:54:19,True,886-99-6354,WB22-36855,,,,,,,Cl-,,,,True,due
P22-209268,Cynthia,Rasmussen,400-57-5822,1,19,2006-07-02 10:54:19,True,886-99-6354,WB22-36855,,,,,,,Urea,,,,True,due
P22-209268,Cynthia,Rasmussen,400-57-5822,1,19,2006-07-02 10:54:19,True,886-99-6354,WB22-36855,,,,,,,K+,,,,True,due
P22-26517,Mary,Peters,439-92-5052,3,64,2010-06-26 12:55:29,False,244-52-7409,DBS22-80868,,,,,,,EID,,,,True,due
P22-108881,Joshua,Gaines,352-76-5973,1,15,2009-11-11 01:08:59,False,331-86-7705,DBS22-80891,,,,,,,EID,,,,True,due
P22-159897,Jeremy,Smith,667-90-8888,1,74,2006-10-10 12:10:50,True,479-53-4353,BP22-37497,,,,,,,HGB,,,,True,due
P22-159897,Jeremy,Smith,667-90-8888,1,74,2006-10-10 12:10:50,True,479-53-4353,BP22-37497,,,,,,,RBC,,,,True,due
P22-159897,Jeremy,Smith,667-90-8888,1,74,2006-10-10 12:10:50,True,479-53-4353,BP22-37497,,,,,,,WBC,,,,True,due
P22-185053,Martin,Allison,402-40-6376,1,6,1978-10-12 03:55:00,True,234-39-4581,BP22-37512,,,,,,,Cl-,,,,True,due
P22-185053,Martin,Allison,402-40-6376,1,6,1978-10-12 03:55:00,True,234-39-4581,BP22-37512,,,,,,,HIV,,,,True,due
P22-185053,Martin,Allison,402-40-6376,1,6,1978-10-12 03:55:00,True,234-39-4581,BP22-37512,,,,,,,Creatinine,,,,True,due
P22-185053,Martin,Allison,402-40-6376,1,6,1978-10-12 03:55:00,True,234-39-4581,BP22-37512,,,,,,,K+,,,,True,due
P22-185053,Martin,Allison,402-40-6376,1,6,1978-10-12 03:55:00,True,234-39-4581,BP22-37512,,,,,,,Urea,,,,True,due
P22-185053,Martin,Allison,402-40-6376,1,6,1978-10-12 03:55:00,True,234-39-4581,BP22-37512,,,,,,,Na-,,,,True,due
P22-160128,Richard,Rogers,580-67-8215,3,6,2012-03-19 21:20:49,False,153-81-0407,DBS22-81044,,,,,,,EID,,,,True,due
P22-21220,Alec,Obrien,038-14-7440,3,57,1974-09-21 23:07:20,False,396-25-6741,DBS22-81245,,,,,,,EID,,,,True,due
P22-162461,Dawn,Bennett,540-44-0381,1,62,1972-12-31 12:45:34,True,762-04-7148,DBS22-81322,,,,,,,EID,,,,True,due
P22-188548,Anthony,Coffey,804-30-9063,3,74,1996-06-03 21:33:50,True,141-02-2462,WB22-37158,,,,,,,Na-,,,,True,due
P22-188548,Anthony,Coffey,804-30-9063,3,74,1996-06-03 21:33:50,True,141-02-2462,WB22-37158,,,,,,,K+,,,,True,due
P22-188548,Anthony,Coffey,804-30-9063,3,74,1996-06-03 21:33:50,True,141-02-2462,WB22-37158,,,,,,,Urea,,,,True,due
