Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status
P22-89342,Angela,Parsons,087-21-2487,1,36,1999-12-13 07:12:33,False,731-96-7586,WB22-19050,,,,,,,HIV Viral Load,,,,True,due
P22-137858,Jessica,Johnson,169-52-2626,3,56,1996-10-22 07:23:46,False,671-36-4539,BP22-19441,,,,,,,WBC,,,,True,due
P22-137858,Jessica,Johnson,169-52-2626,3,56,1996-10-22 07:23:46,False,671-36-4539,BP22-19441,,,,,,,HGB,,,,True,due
P22-137858,Jessica,Johnson,169-52-2626,3,56,1996-10-22 07:23:46,False,671-36-4539,BP22-19441,,,,,,,RBC,,,,True,due
P22-137858,Jessica,Johnson,169-52-2626,3,56,1996-10-22 07:23:46,False,671-36-4539,BP22-19441,,,,,,,HIV Viral Load,,,,True,due
P22-137858,Jessica,Johnson,169-52-2626,3,56,1996-10-22 07:23:46,False,671-36-4539,BP22-19445,,,,,,,WBC,,,,True,due
P22-137858,Jessica,Johnson,169-52-2626,3,56,1996-10-22 07:23:46,False,671-36-4539,BP22-19445,,,,,,,HGB,,,,True,due
P22-137858,Jessica,Johnson,169-52-2626,3,56,1996-10-22 07:23:46,False,671-36-4539,BP22-19445,,,,,,,HIV,,,,True,due
P22-137858,Jessica,Johnson,169-52-2626,3,56,1996-10-22 07:23:46,False,671-36-4539,BP22-19445,,,,,,,RBC,,,,True,due
P22-05236,Michael,Potter,188-57-5902,2,71,2004-04-26 12:25:52,True,557-41-8556,DBS22-42073,,,,,,,EID,,,,True,due
P22-138267,Jessica,Barnes,005-29-6566,2,41,2016-09-16 05:36:00,False,777-01-3157,BP22-19566,,,,,,,K+,,,,True,due
P22-138267,Jessica,Barnes,005-29-6566,2,41,2016-09-16 05:36:00,False,777-01-3157,BP22-19566,,,,,,,HIV,,,,True,due
P22-138267,Jessica,Barnes,005-29-6566,2,41,2016-09-16 05:36:00,False,777-01-3157,BP22-19566,,,,,,,Na-,,,,True,due
P22-138267,Jessica,Barnes,005-29-6566,2,41,2016-09-16 05:36:00,False,777-01-3157,BP22-19566,,,,,,,Creatinine,,,,True,due
P22-138267,Jessica,Barnes,005-29-6566,2,41,2016-09-16 05:36:00,False,777-01-3157,BP22-19566,,,,,,,Cl-,,,,True,due
P22-138267,Jessica,Barnes,005-29-6566,2,41,2016-09-16 05:36:00,False,777-01-3157,BP22-19566,,,,,,,Urea,,,,True,due
P22-138267,Jessica,Barnes,005-29-6566,2,41,2016-09-16 05:36:00,False,777-01-3157,BP22-19573,,,,,,,RBC,,,,True,due
P22-138267,Jessica,Barnes,005-29-6566,2,41,2016-09-16 05:36:00,False,777-01-3157,BP22-19573,,,,,,,HGB,,,,True,due
P22-138267,Jessica,Barnes,005-29-6566,2,41,2016-09-16 05:36:00,False,777-01-3157,BP22-19573,,,,,,,WBC,,,,True,due
P22-138267,Jessica,Barnes,005-29-6566,2,41,2016-09-16 05:36:00,False,777-01-3157,BP22-19573,,,,,,,HIV,,,,True,due
P22-90786,James,Williams,886-45-2082,2,83,1974-01-13 08:20:40,True,227-21-8385,WB22-19242,,,,,,,EID,,,,True,due
P22-90514,Alex,Campbell,094-96-4521,3,77,1975-02-25 22:14:22,False,377-42-7394,BP22-19598,,,,,,,HIV,,,,True,due
P22-140440,Tabitha,Malone,142-39-9012,2,66,1994-08-01 12:57:43,False,221-62-6938,DBS22-42346,,,,,,,EID,,,,True,due
P22-40259,Zachary,Gutierrez,883-03-1002,1,31,1977-04-12 09:31:27,False,490-23-3824,DBS22-42361,,,,,,,EID,,,,True,due
P22-194908,Sarah,Patterson,152-81-3323,3,84,2009-01-18 14:28:51,True,119-40-0135,WB22-19328,,,,,,,Creatinine,,,,True,due
P22-194908,Sarah,Patterson,152-81-3323,3,84,2009-01-18 14:28:51,True,119-40-0135,WB22-19328,,,,,,,Urea,,,,True,due
P22-194908,Sarah,Patterson,152-81-3323,3,84,2009-01-18 14:28:51,True,119-40-0135,WB22-19328,,,,,,,Na-,,,,True,due
P22-194908,Sarah,Patterson,152-81-3323,3,84,2009-01-18 14:28:51,True,119-40-0135,WB22-19328,,,,,,,HIV,,,,True,due
P22-194908,Sarah,Patterson,152-81-3323,3,84,2009-01-18 14:28:51,True,119-40-0135,WB22-19328,,,,,,,Cl-,,,,True,due
P22-194908,Sarah,Patterson,152-81-3323,3,84,2009-01-18 14:28:51,True,119-40-0135,WB22-19328,,,,,,,K+,,,,True,due
P22-108909,Andrew,Baker,206-17-7153,2,64,2016-06-06 18:53:39,False,892-91-9664,DBS22-42529,,,,,,,EID,,,,True,due
P22-90466,Brandon,Dominguez,570-90-2700,3,83,1991-04-08 03:16:31,False,210-17-3110,DBS22-43793,,,,,,,EID,,,,True,due
P22-71229,Paul,Coleman,444-24-4275,1,62,1981-11-25 13:16:41,False,876-24-1194,BP22-20309,,,,,,,HIV,,,,True,due
P22-205819,Kevin,Mack,183-13-0019,2,57,1978-07-06 21:58:07,False,672-26-2486,DBS22-43841,,,,,,,EID,,,,True,due
P22-121254,Kelly,Jones,726-67-3484,3,88,2019-07-05 04:38:14,False,215-80-0680,DBS22-43865,,,,,,,EID,,,,True,due
P22-148499,Anthony,Harris,424-44-0162,1,27,1974-06-07 17:27:37,False,205-25-0674,DBS22-43883,,,,,,,EID,,,,True,due
P22-01339,Christina,Rodriguez,293-36-2481,3,84,2012-04-11 13:46:16,False,613-99-5516,BP22-20342,,,,,,,HIV Viral Load,,,,True,due
P22-01339,Christina,Rodriguez,293-36-2481,3,84,2012-04-11 13:46:16,False,613-99-5516,BP22-20345,,,,,,,RBC,,,,True,due
P22-01339,Christina,Rodriguez,293-36-2481,3,84,2012-04-11 13:46:16,False,613-99-5516,BP22-20345,,,,,,,WBC,,,,True,due
P22-01339,Christina,Rodriguez,293-36-2481,3,84,2012-04-11 13:46:16,False,613-99-5516,BP22-20345,,,,,,,HIV Viral Load,,,,True,due
P22-01339,Christina,Rodriguez,293-36-2481,3,84,2012-04-11 13:46:16,False,613-99-5516,BP22-20345,,,,,,,HGB,,,,True,due
P22-108686,Lindsay,Baker,004-97-2250,3,90,2021-08-15 17:12:00,True,741-55-6586,WB22-20066,,,,,,,WBC,,,,True,due
P22-108686,Lindsay,Baker,004-97-2250,3,90,2021-08-15 17:12:00,True,741-55-6586,WB22-20066,,,,,,,HGB,,,,True,due
P22-108686,Lindsay,Baker,004-97-2250,3,90,2021-08-15 17:12:00,True,741-55-6586,WB22-20066,,,,,,,RBC,,,,True,due
P22-108686,Lindsay,Baker,004-97-2250,3,90,2021-08-15 17:12:00,True,741-55-6586,WB22-20066,,,,,,,HIV,,,,True,due
P22-178575,Sheri,Frederick,800-03-3683,1,54,2011-03-03 05:09:07,True,463-83-8557,DBS22-44016,,,,,,,EID,,,,True,due
P22-80157,Kevin,Mcpherson,739-05-4963,2,22,2021-06-03 09:48:07,True,626-67-6147,DBS22-44023,,,,,,,EID,,,,True,due
P22-72520,David,Hurst,054-69-1545,2,60,2003-01-12 10:12:17,False,854-78-5011,DBS22-44039,,,,,,,EID,,,,True,due
P22-30404,Matthew,Lewis,352-83-6795,3,29,2015-07-09 01:07:04,False,067-99-3695,DBS22-44069,,,,,,,EID,,,,True,due
P22-130951,Jacob,Johnson,377-08-7759,2,6,1998-07-23 21:29:51,True,251-82-4875,DBS22-44126,,,,,,,EID,,,,True,due
P22-76291,Hector,Bowman,308-28-5364,3,6,2019-07-21 03:28:05,False,704-93-3101,DBS22-44156,,,,,,,EID,,,,True,due
P22-114681,Kelly,Miller,683-53-0624,3,76,2001-12-07 23:56:54,False,251-20-4749,DBS22-44182,,,,,,,EID,,,,True,due
P22-12661,Frederick,Morris,761-69-0557,2,73,1988-03-07 17:21:42,False,431-19-6221,WB22-20152,,,,,,,EID,,,,True,due
P22-33951,Danielle,Ramos,464-50-2963,2,60,1987-09-21 07:08:38,True,027-13-1373,BP22-20478,,,,,,,Urea,,,,True,due
P22-33951,Danielle,Ramos,464-50-2963,2,60,1987-09-21 07:08:38,True,027-13-1373,BP22-20478,,,,,,,HIV Viral Load,,,,True,due
P22-33951,Danielle,Ramos,464-50-2963,2,60,1987-09-21 07:08:38,True,027-13-1373,BP22-20478,,,,,,,Creatinine,,,,True,due
