Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status
P22-89504,Barbara,Steele,098-38-9318,2,9,1995-01-23 05:06:53,False,863-28-6285,BP22-20948,,,,,,,HIV,,,,True,due
P22-120072,Paige,Young,830-73-7108,2,16,1980-12-04 16:30:16,True,481-26-0494,WB22-20671,,,,,,,RBC,,,,True,due
P22-120072,Paige,Young,830-73-7108,2,16,1980-12-04 16:30:16,True,481-26-0494,WB22-20671,,,,,,,WBC,,,,True,due
P22-120072,Paige,Young,830-73-7108,2,16,1980-12-04 16:30:16,True,481-26-0494,WB22-20671,,,,,,,HGB,,,,True,due
P22-120072,Paige,Young,830-73-7108,2,16,1980-12-04 16:30:16,True,481-26-0494,WB22-20671,,,,,,,HIV Viral Load,,,,True,due
P22-101929,Jonathan,Duke,097-03-1133,2,31,1980-06-23 17:03:28,False,864-26-3460,DBS22-45370,,,,,,,EID,,,,True,due
P22-152878,Zachary,Richardson,527-03-2646,2,80,2019-08-14 11:18:29,False,154-07-9773,BP22-21048,,,,,,,WBC,,,,True,due
P22-152878,Zachary,Richardson,527-03-2646,2,80,2019-08-14 11:18:29,False,154-07-9773,BP22-21048,,,,,,,RBC,,,,True,due
P22-152878,Zachary,Richardson,527-03-2646,2,80,2019-08-14 11:18:29,False,154-07-9773,BP22-21048,,,,,,,HIV Viral Load,,,,True,due
P22-152878,Zachary,Richardson,527-03-2646,2,80,2019-08-14 11:18:29,False,154-07-9773,BP22-21048,,,,,,,HGB,,,,True,due
P22-147986,Deanna,Reeves,766-68-7331,3,58,1987-04-11 22:21:42,False,229-37-0271,DBS22-45487,,,,,,,EID,,,,True,due
P22-135733,Joann,Avery,882-54-3550,3,44,1979-12-28 22:54:12,True,217-29-6041,WB22-20743,,,,,,,WBC,,,,True,due
P22-135733,Joann,Avery,882-54-3550,3,44,1979-12-28 22:54:12,True,217-29-6041,WB22-20743,,,,,,,EID,,,,True,due
P22-135733,Joann,Avery,882-54-3550,3,44,1979-12-28 22:54:12,True,217-29-6041,WB22-20743,,,,,,,RBC,,,,True,due
P22-135733,Joann,Avery,882-54-3550,3,44,1979-12-28 22:54:12,True,217-29-6041,WB22-20743,,,,,,,HGB,,,,True,due
P22-33165,Paul,Thornton,831-96-3554,1,13,1982-02-24 16:39:18,True,431-03-9259,BP22-21073,,,,,,,Urea,,,,True,due
P22-33165,Paul,Thornton,831-96-3554,1,13,1982-02-24 16:39:18,True,431-03-9259,BP22-21073,,,,,,,K+,,,,True,due
P22-33165,Paul,Thornton,831-96-3554,1,13,1982-02-24 16:39:18,True,431-03-9259,BP22-21073,,,,,,,Creatinine,,,,True,due
P22-33165,Paul,Thornton,831-96-3554,1,13,1982-02-24 16:39:18,True,431-03-9259,BP22-21073,,,,,,,Na-,,,,True,due
P22-33165,Paul,Thornton,831-96-3554,1,13,1982-02-24 16:39:18,True,431-03-9259,BP22-21073,,,,,,,Cl-,,,,True,due
P22-106035,Melissa,Hamilton,172-07-7273,3,4,2017-11-22 07:32:55,True,235-82-7235,DBS22-45542,,,,,,,EID,,,,True,due
P22-179434,John,Jackson,789-88-9894,3,51,1994-07-28 14:35:20,False,819-64-0055,DBS22-45545,,,,,,,EID,,,,True,due
P22-52091,Tiffany,Reed,469-06-4651,2,70,1974-11-25 03:35:08,True,826-36-0110,DBS22-45588,,,,,,,EID,,,,True,due
P22-110340,Peter,Mcfarland,319-43-8021,1,44,2002-09-02 10:49:20,True,145-27-5635,DBS22-45621,,,,,,,EID,,,,True,due
P22-53924,Charles,Garcia,020-48-5641,1,5,2008-10-25 16:44:53,True,644-33-8155,DBS22-45632,,,,,,,EID,,,,True,due
P22-57721,Dylan,Powell,621-96-7611,3,41,1981-05-11 23:55:55,True,101-74-8969,BP22-21127,,,,,,,EID,,,,True,due
P22-187958,Chad,Mendoza,860-19-2242,2,58,2020-09-21 08:55:04,False,566-33-0575,WB22-20822,,,,,,,WBC,,,,True,due
P22-187958,Chad,Mendoza,860-19-2242,2,58,2020-09-21 08:55:04,False,566-33-0575,WB22-20822,,,,,,,HIV Viral Load,,,,True,due
P22-187958,Chad,Mendoza,860-19-2242,2,58,2020-09-21 08:55:04,False,566-33-0575,WB22-20822,,,,,,,HGB,,,,True,due
P22-187958,Chad,Mendoza,860-19-2242,2,58,2020-09-21 08:55:04,False,566-33-0575,WB22-20822,,,,,,,RBC,,,,True,due
P22-74526,Caitlin,Ingram,614-87-8117,1,72,1998-06-16 01:49:45,False,788-98-8617,DBS22-45727,,,,,,,EID,,,,True,due
P22-03596,Angela,Fernandez,773-92-7661,3,38,2017-09-11 09:56:51,True,818-07-6097,DBS22-45737,,,,,,,EID,,,,True,due
P22-127133,Brent,Gardner,657-11-5869,2,67,1970-04-15 07:58:33,False,555-82-0032,DBS22-45758,,,,,,,EID,,,,True,due
P22-36446,Carol,Harrington,239-49-0665,1,40,1992-02-28 07:09:53,False,476-88-3985,WB22-20865,,,,,,,EID,,,,True,due
P22-31380,Cody,Dominguez,198-14-0385,2,73,2013-04-21 21:17:31,True,362-05-3520,WB22-20868,,,,,,,HGB,,,,True,due
