Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status
P22-68934,Kristin,Scott,882-90-3260,2,46,2017-09-29 06:35:59,False,071-47-6963,DBS22-50182,,,,,,,EID,,,,True,due
P22-83311,Kathleen,Smith,817-62-1785,3,23,2016-05-26 08:58:25,True,819-75-8087,BP22-23341,,,,,,,HIV,,,,True,due
P22-83311,Kathleen,Smith,817-62-1785,3,23,2016-05-26 08:58:25,True,819-75-8087,BP22-23341,,,,,,,HGB,,,,True,due
P22-83311,Kathleen,Smith,817-62-1785,3,23,2016-05-26 08:58:25,True,819-75-8087,BP22-23341,,,,,,,RBC,,,,True,due
P22-83311,Kathleen,Smith,817-62-1785,3,23,2016-05-26 08:58:25,True,819-75-8087,BP22-23341,,,,,,,WBC,,,,True,due
P22-15034,Judy,Brown,397-68-6038,3,74,2002-05-05 13:53:30,True,401-73-6506,BP22-23366,,,,,,,HGB,,,,True,due
P22-15034,Judy,Brown,397-68-6038,3,74,2002-05-05 13:53:30,True,401-73-6506,BP22-23366,,,,,,,HIV,,,,True,due
P22-15034,Judy,Brown,397-68-6038,3,74,2002-05-05 13:53:30,True,401-73-6506,BP22-23366,,,,,,,RBC,,,,True,due
P22-15034,Judy,Brown,397-68-6038,3,74,2002-05-05 13:53:30,True,401-73-6506,BP22-23366,,,,,,,WBC,,,,True,due
P22-61723,Cesar,Ford,365-89-7144,3,51,1995-04-18 05:31:20,True,043-11-9638,BP22-23398,,,,,,,Na-,,,,True,due
P22-61723,Cesar,Ford,365-89-7144,3,51,1995-04-18 05:31:20,True,043-11-9638,BP22-23398,,,,,,,HIV,,,,True,due
P22-61723,Cesar,Ford,365-89-7144,3,51,1995-04-18 05:31:20,True,043-11-9638,BP22-23398,,,,,,,K+,,,,True,due
P22-61723,Cesar,Ford,365-89-7144,3,51,1995-04-18 05:31:20,True,043-11-9638,BP22-23398,,,,,,,Cl-,,,,True,due
P22-61723,Cesar,Ford,365-89-7144,3,51,1995-04-18 05:31:20,True,043-11-9638,BP22-23398,,,,,,,Urea,,,,True,due
P22-61723,Cesar,Ford,365-89-7144,3,51,1995-04-18 05:31:20,True,043-11-9638,BP22-23398,,,,,,,Creatinine,,,,True,due
P22-182881,Sarah,Collins,340-27-4929,3,8,2006-03-15 19:42:46,False,362-17-7221,BP22-23428,,,,,,,HIV,,,,True,due
P22-21533,Melinda,Collins,466-11-5352,2,42,2001-06-09 17:25:55,False,313-30-4004,DBS22-50560,,,,,,,EID,,,,True,due
P22-30528,Gabriel,Stafford,103-79-1024,3,55,2003-05-23 10:22:33,True,425-24-2876,WB22-23031,,,,,,,HIV,,,,True,due
