Patient Id,First Name,Last Name,Client Patient Id,Gender,Age,Date Of Birth,Age DOB Estimated,Client Request Id,Sample Id,Date Received,Date Submitted,Date Verified,Date Published,Date Invalidated,Date Cancelled,Analysis,Result,Method,Instrument,Reportable,Sample Status,Period Criteria - created_at
P22-133811,Henry,Moody,544-70-6440,3,74,2021-09-17 05:26:42.000000,False,162-41-2167,WB22-43977,,,,,,,HIV,,,,True,received,2022-01-23 10:08:02.472754
P22-133906,Jared,Fields,259-30-5723,2,43,1988-07-01 23:57:54.000000,True,727-86-0525,WB22-44013,,,,,,,HIV,,,,True,received,2022-01-23 10:08:22.971520
P22-133612,Kevin,Washington,059-43-0222,3,71,1973-08-14 01:43:54.000000,True,407-54-6990,BP22-43608,,,,,,,HIV,,,,True,received,2022-01-23 10:07:24.280003
P22-133739,Emily,Smith,341-10-7553,2,20,1990-12-29 02:06:36.000000,True,085-64-9570,WB22-43959,,,,,,,HIV,,,,True,received,2022-01-23 10:07:49.283652
P22-133644,Craig,Simpson,751-67-2071,1,79,2019-03-25 11:55:00.000000,False,752-39-6439,BP22-43618,,,,,,,HIV,,,,True,received,2022-01-23 10:07:31.633690
P22-133573,Grace,Woods,164-02-9859,2,11,1985-02-14 09:21:06.000000,True,893-31-5370,WB22-43900,,,,,,,HIV,,,,True,received,2022-01-23 10:07:17.319349
P22-133666,Gloria,Buck,155-18-6727,2,55,1998-08-17 19:52:04.000000,True,524-95-0140,BP22-43623,,,,,,,HIV,,,,True,received,2022-01-23 10:07:34.422716
P22-133665,Julie,Harris,258-41-0148,1,2,2001-01-26 07:04:47.000000,True,894-24-5584,BP22-43622,,,,,,,HIV,,,,True,received,2022-01-23 10:07:34.310881
P22-133706,Robert,Torres,763-45-4915,1,49,2018-10-18 18:02:17.000000,True,617-61-1243,BP22-43634,,,,,,,HIV,,,,True,received,2022-01-23 10:07:42.417484
P22-133569,Joel,Grant,773-35-4898,3,43,2007-01-06 05:21:25.000000,False,249-54-5117,BP22-43592,,,,,,,HIV,,,,True,received,2022-01-23 10:07:16.434322
P22-133822,Reginald,Scott,086-26-4976,1,87,1980-01-11 20:24:20.000000,True,396-22-9112,BP22-43672,,,,,,,HIV,,,,True,received,2022-01-23 10:08:04.959841
P22-133703,Alexis,Smith,746-35-6255,1,11,2007-02-05 13:43:46.000000,False,026-80-6051,BP22-43635,,,,,,,HIV,,,,True,received,2022-01-23 10:07:42.669361
P22-133746,Luis,Olsen,557-30-4069,2,27,2016-07-05 02:05:54.000000,False,821-44-2768,WB22-43964,,,,,,,HIV,,,,True,received,2022-01-23 10:07:50.666115
P22-133781,Michelle,White,601-16-0615,1,69,1992-12-10 16:24:50.000000,False,182-82-5505,BP22-43656,,,,,,,HIV,,,,True,received,2022-01-23 10:07:57.221395
P22-133626,Cody,Price,062-78-1133,1,12,1987-11-04 05:28:55.000000,False,190-32-3825,BP22-43613,,,,,,,HIV,,,,True,received,2022-01-23 10:07:27.053224
P22-134027,Angelica,Miller,038-75-8808,2,35,1977-10-11 10:07:23.000000,True,603-31-4062,WB22-44060,,,,,,,HIV,,,,True,received,2022-01-23 10:08:47.116384
P22-134070,Ryan,Sanchez,093-86-0933,2,77,2014-11-27 00:21:29.000000,True,331-14-9309,BP22-43762,,,,,,,HIV,,,,True,received,2022-01-23 10:08:55.951802
P22-133663,Christina,Ramos,843-59-1033,3,8,2007-04-18 22:53:13.000000,True,592-91-9526,BP22-43620,,,,,,,HIV,,,,True,received,2022-01-23 10:07:33.965476
P22-133614,Molly,Brown,283-51-1825,3,29,1981-06-16 11:47:37.000000,False,841-57-0049,WB22-43912,,,,,,,HIV,,,,True,received,2022-01-23 10:07:24.539344
P22-133629,Karen,Aguilar,850-21-3365,2,28,1975-10-16 02:32:59.000000,True,159-77-2810,BP22-43614,,,,,,,HIV,,,,True,received,2022-01-23 10:07:27.779331
P22-133637,Theresa,Daniels,552-27-8946,1,11,1971-07-07 23:59:55.000000,False,677-59-8292,WB22-43921,,,,,,,HIV,,,,True,received,2022-01-23 10:07:29.338530
P22-133640,Jermaine,Wilkerson,638-83-4655,1,14,1983-11-24 20:12:56.000000,True,599-34-8182,WB22-43923,,,,,,,HIV,,,,True,received,2022-01-23 10:07:29.892936
P22-133599,Richard,Mitchell,611-21-0281,3,10,2003-02-14 02:14:26.000000,False,138-28-6867,WB22-43909,,,,,,,HIV,,,,True,received,2022-01-23 10:07:21.449303
P22-133608,Michael,Kerr,060-77-0112,2,57,2010-09-08 23:07:52.000000,True,095-09-5778,BP22-43605,,,,,,,HIV,,,,True,received,2022-01-23 10:07:23.388631
P22-133645,Blake,Wood,091-67-9321,1,69,2019-01-08 17:14:28.000000,False,384-04-2005,WB22-43924,,,,,,,HIV,,,,True,received,2022-01-23 10:07:30.742173
P22-133734,Mark,Mcconnell,765-20-6949,2,3,1985-11-12 17:23:34.000000,False,889-47-8395,BP22-43645,,,,,,,HIV,,,,True,received,2022-01-23 10:07:48.206340
P22-133636,Courtney,Chapman,405-08-8860,2,78,2016-10-03 04:23:52.000000,False,125-40-1694,WB22-43920,,,,,,,HIV,,,,True,received,2022-01-23 10:07:29.194712
P22-133609,Nancy,Martinez,898-07-5884,1,87,1995-11-18 13:51:26.000000,True,319-52-5097,BP22-43606,,,,,,,HIV,,,,True,received,2022-01-23 10:07:23.534263
P22-133846,Theresa,Cantrell,873-06-6848,2,1,1974-11-27 15:12:12.000000,True,534-97-6144,WB22-43991,,,,,,,HIV,,,,True,received,2022-01-23 10:08:10.112632
P22-133917,Samantha,Bennett,667-32-4788,3,36,2011-03-06 14:41:31.000000,False,281-30-7081,BP22-43711,,,,,,,HIV,,,,True,received,2022-01-23 10:08:24.538966
P22-133684,Joshua,Young,467-35-0285,1,20,2002-01-30 05:17:57.000000,True,354-63-5185,BP22-43629,,,,,,,HIV,,,,True,received,2022-01-23 10:07:38.566340
P22-133893,Tyler,Cunningham,385-04-7224,2,31,2020-11-22 16:49:04.000000,True,816-54-1440,BP22-43705,,,,,,,HIV,,,,True,received,2022-01-23 10:08:19.260287
P22-133689,Edward,Singh,639-80-6459,1,9,1971-01-31 03:45:31.000000,False,518-80-1214,WB22-43942,,,,,,,HIV,,,,True,received,2022-01-23 10:07:40.013998
P22-133744,Elizabeth,Melendez,890-72-2524,1,32,1981-02-27 12:05:26.000000,False,042-84-4797,WB22-43963,,,,,,,HIV,,,,True,received,2022-01-23 10:07:50.548484
P22-133672,Jamie,Glass,547-52-7092,1,14,1976-03-03 07:32:07.000000,True,209-82-6147,WB22-43934,,,,,,,HIV,,,,True,received,2022-01-23 10:07:36.140281
P22-133842,Katherine,Lane,024-30-5059,2,83,2019-12-22 01:49:25.000000,False,418-16-0253,WB22-43988,,,,,,,HIV,,,,True,received,2022-01-23 10:08:08.826888
